statement,evidence,label_name,predicted_label,error_type,gold_label_explanation,baseline_failure_reason,suggested_adjustment,source_row
Bộ GD&ĐT vừa ra quyết định về việc điều chỉnh liên kết tổ chức thi cấp chứng chỉ tiếng Anh IELTS vào ngày 6/7 vừa qua.,Bộ GD&ĐT vừa ra quyết định về việc điều chỉnh liên kết tổ chức thi cấp chứng chỉ tiếng Anh IELTS,NEI,Supported,Số liệu / thời gian,"Evidence xác nhận Bộ GD&ĐT ra quyết định điều chỉnh liên kết thi IELTS nhưng không có ngày 6/7. Vì mốc ngày chưa được chứng minh, nhãn đúng là NEI.",Độ trùng từ cao khiến mốc thời gian bổ sung không đủ làm thay đổi dự đoán Supported.,Giữ ngày tháng và thử bigram; không loại số hoặc dấu gạch chéo trong preprocessing.,1206
"Trước khi có cơ sở chính thức ở quận 1, Trường Trưng Vương tạm tổ chức các hoạt động dạy và học tại Trường Gia Long do quyết định của quan chức cấp cao thời đó.","Trong khi chưa có cơ sở học chính thức, Trường Trưng Vương tạm tổ chức các hoạt động dạy và học tại Trường Gia Long Trường Nữ Trung Học Trưng Vương chính thức được chuyển về số 3 đường Nguyễn Bỉnh Khiêm, Q.1",NEI,Supported,Quan hệ nhân quả / quan hệ,"Evidence nói Trường Trưng Vương tạm học tại Trường Gia Long khi chưa có cơ sở chính thức, nhưng không nêu nguyên nhân là quyết định của quan chức cấp cao. Vì quan hệ nguyên nhân thiếu bằng chứng, nhãn đúng là NEI.",TF-IDF nhận ra các thực thể và hành động giống nhau nhưng không biểu diễn được quan hệ nguyên nhân được thêm vào.,"Giữ các từ chỉ quan hệ như ‘do’, ‘vì’; dùng bigram và nêu rõ giới hạn của mô hình bag-of-words.",426
Phó Thủ tướng Lê Minh Khái và Bí thư thứ nhất Trung ương Đoàn Bùi Quang Huy đã trao cúp vô địch cho đội Đại học Huế và giải Nhì cho ĐH Thủy Lợi.,Phó Thủ tướng Lê Minh Khái và Bí thư thứ nhất Trung ương Đoàn Bùi Quang Huy đã trao cúp vô địch cho đội Đại học Huế,NEI,Supported,Không đủ thông tin,"Evidence xác nhận đội Đại học Huế nhận cúp vô địch, nhưng không nói ĐH Thủy Lợi nhận giải Nhì. Một phần của phát biểu chưa được chứng minh nên là NEI.",Mô hình bị chi phối bởi phần đầu hoàn toàn trùng với Evidence và bỏ qua mệnh đề bổ sung.,Giữ liên từ ‘và’ cùng dấu câu; thử bigram để nhận biết phát biểu gồm nhiều mệnh đề cần được kiểm chứng.,1250
Trường ĐH Ngoại ngữ -Tin học TPHCM đã trao đổi với phóng viên Dân trí rằng chương trình hội thảo về khởi nghiệp này nằm trong chuỗi hoạt động về chủ đề khởi nghiệp do Đoàn hội các trường phối hợp với Hội sinh viên và Nhà Văn hóa sinh viên TPHCM tổ chức vào tháng 2/2023.,"Trao đổi với PV Dân trí về sự việc gây xôn xao, đại diện Trường ĐH Ngoại ngữ -Tin học TPHCM cho biết, chương trình hội thảo về khởi nghiệp này nằm trong chuỗi hoạt động về chủ đề khởi nghiệp do Đoàn hội các trường phối hợp với Hội sinh viên và Nhà Văn hóa sinh viên TPHCM tổ chức.",NEI,Supported,Số liệu / thời gian,"Evidence xác nhận nội dung, đơn vị phối hợp và chuỗi hoạt động khởi nghiệp, nhưng không nêu thời điểm tháng 2/2023. Do đó nhãn đúng là NEI.",Các cụm dài trùng nhau làm mốc thời gian bổ sung bị lấn át.,Không xóa số và ngày; dùng bigram cho cụm tháng/năm và giữ ranh giới Statement–Evidence.,1281
Weploy - mô hình cung ứng nhân sự thời vụ trên nền tảng số gây sốt khi xuất hiện tại thị trường Việt Nam hỗ trợ cho doanh nghiệp tuyển dụng.,chính thức có mặt tại Việt Nam sau khi thành công ở vòng gọi vốn đầu tiên với 5 triệu USD từ Skymind Global Ventures. Weploy - mô hình cung ứng nhân sự thời vụ trên nền tảng số,NEI,Supported,Không đủ thông tin,Evidence xác nhận Weploy là mô hình cung ứng nhân sự thời vụ trên nền tảng số tại Việt Nam; không xác nhận ‘gây sốt’ hoặc tác dụng hỗ trợ tuyển dụng như phát biểu. Nhãn đúng là NEI.,"Mô hình xem phần mô tả thực thể trùng nhau là bằng chứng đủ, dù các thuộc tính bổ sung chưa xuất hiện.",Dùng bigram và rà soát các tính từ/thuộc tính bổ sung; giữ nguyên cấu trúc hai phần của đầu vào.,1086
"Học sinh Nguyễn Anh Dũng đạt thành tích cao nhất của một học sinh ở tỉnh Đắk Nông kể từ khi thành lập tỉnh đó là giải nhì, năm trước tình cũng có một em đạt giải 3 môn toán.",Học sinh Nguyễn Anh Dũng đạt thành tích cao nhất của một học sinh ở tỉnh Đắk Nông kể từ khi thành lập tỉnh,NEI,Supported,Không đủ thông tin,"Evidence xác nhận thành tích của Nguyễn Anh Dũng là cao nhất tại Đắk Nông, nhưng không có thông tin năm trước có học sinh đạt giải ba môn Toán. Mệnh đề thứ hai thiếu bằng chứng nên là NEI.",Phần đầu trùng hoàn toàn nên mô hình dự đoán Supported và bỏ qua mệnh đề bổ sung ở cuối.,"Giữ dấu phẩy và liên từ; dùng bigram, đồng thời đánh dấu đây là lỗi phát biểu nhiều mệnh đề.",255
"Việc chuyển đổi cũng đi đôi với những thử thách khó khăn về công tác chuyên môn, tổ chức và truyền thông khi mùa giải đang đến gần và khoảng thời gian chuẩn bị đang đị rút ngắn đi.","Việc chuyển đổi cũng đi đôi với những thử thách khó khăn về công tác chuyên môn, tổ chức và truyền thông... nên cần có những phương án, giải pháp đối phó kịp thời, hiệu quả",NEI,Supported,Quan hệ nhân quả / quan hệ,Evidence chỉ nói quá trình chuyển đổi có thử thách và cần giải pháp; không xác nhận mùa giải đến gần và thời gian chuẩn bị bị rút ngắn. Quan hệ hoàn cảnh bổ sung chưa có bằng chứng nên là NEI.,Mô hình nhận diện chủ đề và cụm ‘thử thách’ nhưng không phân biệt được các nguyên nhân cụ thể.,"Giữ từ chỉ thời gian và quan hệ; dùng bigram cho ‘đến gần’, ‘rút ngắn’.",953
"Một Lương Kỳ Duyên mà khán giả đã quen với hình ảnh nhí nhảnh, ngọt ngào nay đã trong một vai trò hoàn toàn mới mà theo cô, đây là lần đầu tiên cô nắm giữ, đó chính là MC của VITM 2023.","Lương Kỳ Duyên trong một vai trò hoàn toàn mới - MC của VITM 2023 khán giả đã quá quen với một Lương Kỳ Duyên nhí nhảnh, ngọt ngào",NEI,Supported,Không đủ thông tin,"Evidence xác nhận Lương Kỳ Duyên có vai trò mới là MC VITM 2023 và hình ảnh quen thuộc; không xác nhận đây là lần đầu cô đảm nhiệm theo lời cô. Vì chi tiết này thiếu bằng chứng, nhãn đúng là NEI.",Nội dung chính trùng mạnh nên mô hình coi toàn bộ Statement được hỗ trợ.,Dùng bigram và chú ý các cụm chỉ lần đầu hoặc nguồn phát ngôn khi đọc lỗi.,969
Dự án chậm tiến độ do vướng giải phóng mặt bằng và không thỏa thuận được với chủ đầu tư về việc bồi thường GPMB.,dự án chậm tiến độ do vướng giải phóng mặt bằng.,NEI,Supported,Quan hệ nhân quả / quan hệ,"Evidence xác nhận dự án chậm do vướng giải phóng mặt bằng, nhưng không nêu việc không thỏa thuận được với chủ đầu tư về bồi thường. Một nguyên nhân bổ sung chưa được chứng minh nên là NEI.",Mô hình nhận thấy quan hệ ‘chậm do giải phóng mặt bằng’ trùng nhau và bỏ qua nguyên nhân thứ hai.,"Giữ liên từ ‘và’, ‘do’; dùng bigram để biểu diễn các nguyên nhân riêng biệt.",942
"Thanh tra Sở Xây dựng TP Hải Phòng có công văn đề nghị UBND quận Kiến An chỉ đạo UBND phường Quán Trữ và các phòng ban chuyên môn xác định nguồn gốc đất, kiểm tra trật tự xây dựng, đồng thời lập hồ sơ và đình chỉ thi công xây dựng trong 2 tháng với 9 căn nhà liền kề.","Ngày 15/2, Thanh tra Sở Xây dựng TP Hải Phòng có công văn đề nghị UBND quận Kiến An chỉ đạo UBND phường Quán Trữ và các phòng ban chuyên môn xác minh nguồn gốc đất, kiểm tra trật tự xây dựng, lập hồ sơ xử lý với 9 căn nhà liền kề nêu trên. đề nghị quận Kiến An đình chỉ thi công xây dựng.",NEI,Supported,Số liệu / thời gian,"Evidence xác nhận đề nghị đình chỉ thi công 9 căn nhà nhưng không nêu thời hạn hai tháng. Vì thời lượng cụ thể thiếu bằng chứng, nhãn đúng là NEI.","Mô hình bị chi phối bởi cơ quan, hành động và số căn nhà trùng nhau, không nhận ra thời lượng được thêm vào.","Không xóa số; dùng bigram cho ‘2 tháng’, ‘9 căn’ và giữ cấu trúc Statement–Evidence.",1301
"Trong tổng số nợ lên tới hơn 300 tỉ USD, bước đi được đánh giá mở đường cho tập đoàn địa ốc nợ nhiều nhất thế giới này tái cơ cấu khoản nợ nước ngoài 52,7 tỉ USD.","Bước đi được đánh giá mở đường cho tập đoàn địa ốc nợ nhiều nhất thế giới này tái cơ cấu khoản nợ nước ngoài 22,7 tỉ USD trong tổng số nợ lên tới hơn 300 tỉ USD",Refuted,NEI,Số liệu / thời gian,"Statement nêu khoản nợ nước ngoài 52,7 tỉ USD, còn Evidence nêu 22,7 tỉ USD. Hai số mâu thuẫn trực tiếp nên nhãn đúng là Refuted.",Mô hình nhận ra cùng chủ đề nợ nhưng không so khớp chính xác hai giá trị gần giống nhau.,Giữ số và dấu thập phân; dùng bigram để gắn giá trị với cụm ‘nợ nước ngoài’.,1198
"Lốc xoáy cũng đã được ghi nhận tại các bang lân cận như Tennessee, Illinois và California.","Cơ quan dự báo thời tiết Mỹ cho biết cảnh báo lốc xoáy đã công bố tại các bang lân cận Tennessee, Illinois và Iowa.",Refuted,NEI,Tương đồng từ vựng cao,"Statement nêu bang California, trong khi Evidence liệt kê Iowa cùng Tennessee và Illinois. Địa danh khác nhau tạo mâu thuẫn nên nhãn đúng là Refuted.",Phần lớn câu giống nhau; TF-IDF không hiểu California và Iowa là hai thực thể thay thế cho cùng một vị trí trong danh sách.,Giữ nguyên tên riêng và dùng bigram; kiểm tra các lỗi thay thế một thực thể trong câu có độ trùng cao.,498
"Cơ quan cảnh sát điều tra Công an TPHCM đã ra quyết định trả tự do cho 5 nữ tiếp viên hàng không ngày 22/3 và khởi tố vụ án ""vận chuyển trái phép chất ma tuý"" để điều tra, làm rõ bản chất vụ việc, xử lý nghiêm các đối tượng có liên quan theo quy định.","ngày 22/3, Cơ quan cảnh sát điều tra Công an TPHCM đã ra quyết định trả tự do cho 4 nữ tiếp viên hàng không và khởi tố vụ án ""vận chuyển trái phép chất ma tuý"" để điều tra, làm rõ bản chất vụ việc, xử lý nghiêm các đối tượng có liên quan theo quy định.",Refuted,NEI,Số liệu / thời gian,"Statement nói 5 nữ tiếp viên được trả tự do, còn Evidence nói 4 người. Số lượng mâu thuẫn trực tiếp nên nhãn đúng là Refuted.",Chỉ một chữ số khác nhau trong câu rất dài khiến tín hiệu mâu thuẫn bị các từ giống nhau lấn át.,"Không xóa số; dùng bigram và giữ cụm ‘4 nữ’, ‘5 nữ’.",1364
Hạ nghị sĩ thuộc đảng Cộng hòa nói TikTok mặc dù thiết kế giảm thiểu tác hại cho trẻ em nhưng lại gây nghiện cho trẻ để kiếm lợi nhuận.,"Hạ nghị sĩ Kathy Castor thuộc đảng Dân chủ nói: “TikTok có thể thiết kế để giảm thiểu tác hại đối với trẻ em, nhưng công ty lại chọn gây nghiện cho trẻ em vì lợi nhuận”.",Refuted,NEI,Tương đồng từ vựng cao,"Statement gán phát ngôn cho Hạ nghị sĩ Cộng hòa, còn Evidence xác định Kathy Castor thuộc đảng Dân chủ. Thuộc tính của người phát ngôn mâu thuẫn nên là Refuted.","Hầu hết nội dung trích dẫn trùng nhau, còn khác biệt về đảng phái chỉ chiếm rất ít từ.",Giữ tên riêng và cụm đảng phái; dùng bigram để hạn chế việc độ trùng toàn câu lấn át một thuộc tính quan trọng.,131
"Cô đi công tác hơn 25 quốc gia trong nhiệm kỳ của mình, Karolina Bielawska được ban tổ chức cuộc thi Hoa hậu Thế giới ở nhiều quốc gia yêu mến.",Cô cũng là một trong những hoa hậu đi công tác nhiều nhất trong nhiệm kỳ khi đặt chân tới hơn 20 quốc gia. Karolina Bielawska được ban tổ chức cuộc thi Hoa hậu Thế giới ở nhiều quốc gia yêu mến,Refuted,NEI,Số liệu / thời gian,"Statement nói hơn 25 quốc gia, trong khi Evidence nói hơn 20 quốc gia. Hai ngưỡng số lượng khác nhau nên nhãn đúng là Refuted theo nhãn dữ liệu.",Mô hình nhận ra cùng người và cùng sự kiện nhưng không phân biệt tốt hai con số gần nhau.,Giữ số và từ so sánh ‘hơn’; thử bigram cho cụm số lượng.,976
Các ngân hàng đối thủ của Deutsche Bank đều có giá cổ phiếu tăng.,"Cổ phiếu của ngân hàng Đức Commerzbank, đối thủ của Deutsche Bank, giảm 9% trong khi cổ phiếu của Credit Suisse, Societe Generale và UBS sụt hơn 7%. Cổ phiếu của Barclays và BNP Paribas cũng mất 6% trong phiên cuối tuần.",Refuted,NEI,Phủ định / đối nghĩa,"Statement nói cổ phiếu các ngân hàng đối thủ tăng, còn Evidence nói tất cả các cổ phiếu được nêu đều giảm hoặc mất giá. Quan hệ đối nghĩa trực tiếp nên là Refuted.",TF-IDF nhận diện tên ngân hàng nhưng không biểu diễn tốt cặp động từ trái nghĩa ‘tăng–giảm’. Liệt kê dài cũng làm tín hiệu bị phân tán.,"Giữ các động từ xu hướng; dùng bigram và xem trọng số của ‘tăng’, ‘giảm’, ‘mất’.",88
"Giám đốc Ban quản lý dự án giao thông Khánh Hoà lên tiếng về việc mái tôn, vật liệu xây dựng có thể gây tai nạn mặc dù một số khu vực đã được rào lưới, trải nhựa.",". Mái tôn, vật liệu xây dựng nằm sát khu vực đi lại của người dân. Một số đoạn đường chưa được trải nhựa dễ trơn trượt và tai nạn. Một số khu vực tại công trình nút giao chưa được rào lưới. Ông Đặng Hữu Tài, Giám đốc Ban quản lý dự án giao thông Khánh Hoà, cho biết đã nhiều lần kiểm tra và gửi văn bản nhắc nhở và chấn chỉnh chủ đầu tư đảm bảo an toàn khi thi công.",Refuted,NEI,Phủ định / đối nghĩa,"Statement nói một số khu vực đã rào lưới và trải nhựa, còn Evidence nói chưa được rào lưới và chưa được trải nhựa. Vì phủ định bị đảo, nhãn đúng là Refuted.","Nếu từ ‘chưa’ có trọng số thấp hoặc đứng xa danh từ, TF-IDF dễ chỉ nhìn thấy các cụm rào lưới/trải nhựa giống nhau.","Tuyệt đối không xóa từ phủ định; dùng bigram như ‘chưa được’, ‘được rào’.",693
"Viện Nghiên cứu nông nghiệp xác nhận vaccine NAVET-ASFVAC không đảm bảo an toàn, không nên thử nghiệm trên diện rộng.","Sau nhiều lần thử nghiệm trong phòng thí nghiệm và được đánh giá kỹ lưỡng bởi các hội đồng khoa học, tháng 5/2022, Viện Nghiên cứu nông nghiệp thuộc Bộ Nông nghiệp Hoa Kỳ đã có thư chính thức gửi Cục Thú y Việt Nam xác nhận vaccine NAVET-ASFVAC bảo đảm an toàn, hiệu lực. Hiện nay, Việt Nam đang thử nghiệm trên diện rộng, làm cơ sở chuẩn bị cho các bước hoàn thiện cuối cùng để đưa vaccine vào thương mại hóa.",Refuted,NEI,Phủ định / đối nghĩa,"Statement nói vaccine không an toàn và không nên thử nghiệm rộng, còn Evidence xác nhận vaccine an toàn, có hiệu lực và đang được thử nghiệm diện rộng. Đây là mâu thuẫn trực tiếp nên là Refuted.",Nhiều từ chủ đề trùng nhau trong khi phủ định ‘không’ quyết định toàn bộ ý nghĩa.,"Không đưa ‘không’, ‘chưa’ vào stopwords; dùng bigram như ‘không an toàn’, ‘bảo đảm an toàn’.",307
"Uy tín và vị thế của Việt Nam ngày càng cao trên trường quốc tế, tuy nhiên vẫn chưa đủ để thu hút các nhà đầu tư.","""Hơn bao giờ hết Việt Nam đang là điểm đến hấp dẫn của các nhà đầu tư. Chúng ta đã tham gia vào nhiều cơ chế quan trọng của Liên Hợp Quốc, các diễn đàn đa phương. Uy tín, vị thế của đất nước ngày càng cao trên trường quốc tế. Việt Nam cũng là cầu nối, cửa ngõ tiếp cận với các thị trường lớn trên thế giới thông qua các hiệp định thương mại tự do thế hệ mới"",",Refuted,NEI,Phủ định / đối nghĩa,"Statement nói uy tín vẫn chưa đủ để thu hút nhà đầu tư, còn Evidence khẳng định Việt Nam đang là điểm đến hấp dẫn. Hai đánh giá trái ngược nên nhãn đúng là Refuted.","Mô hình nhận thấy các từ uy tín, Việt Nam, nhà đầu tư nhưng không hiểu đối lập giữa ‘chưa đủ’ và ‘hấp dẫn’.","Giữ phủ định và dùng bigram cho ‘chưa đủ’, ‘điểm đến hấp dẫn’.",721
Điều phối viên Truyền thông Chiến lược của Hội đồng An ninh Quốc gia Nhà Trắng John Kirby nói rằng Washington hiện đã có chứng cứ về việc vũ khí hạt nhân của Nga được triển khai ở Belarus.,"Điều phối viên Truyền thông Chiến lược của Hội đồng An ninh Quốc gia Nhà Trắng John Kirby trước đó cũng nói rằng, Washington hiện chưa thấy bằng chứng nào về việc vũ khí hạt nhân của Nga được triển khai ở Belarus.",Refuted,NEI,Phủ định / đối nghĩa,"Statement nói Washington đã có chứng cứ, còn Evidence nói chưa thấy bằng chứng. Phủ định làm hai câu mâu thuẫn trực tiếp nên nhãn đúng là Refuted.","Độ trùng từ gần như tuyệt đối; nếu ‘chưa’ không được coi trọng, mô hình dễ dự đoán NEI hoặc Supported.","Giữ từ phủ định; dùng bigram ‘chưa thấy’, ‘có chứng cứ/bằng chứng’.",53
"Nhiều ngôi sao Hoa ngữ cũng gặp trường hợp như Đô Mỹ Trúc, ảnh khác xa đời thật ví dụ như Lưu Diệc Phi bị chê quá gầy, thô khác với hình ảnh thon thả, dịu dàng đã đăng tải.","Không chỉ Đô Mỹ Trúc, nhiều ngôi sao Hoa ngữ cũng bị “bóc” nhan sắc khác xa một trời một vực vì chỉnh sửa quá đà. Gần đây, Lưu Diệc Phi bị chê béo, thô khác với hình ảnh thon thả do phòng làm việc đăng tải.",Refuted,Supported,Tương đồng từ vựng cao,"Statement mô tả Lưu Diệc Phi quá gầy, còn Evidence nói cô bị chê béo. Hai đặc điểm đối lập nên nhãn đúng là Refuted.","Toàn bộ ngữ cảnh và thực thể trùng nhau, chỉ tính từ mô tả khác biệt nên tín hiệu mâu thuẫn yếu.",Giữ tính từ mô tả và dùng bigram; kiểm tra trọng số của các cặp đối nghĩa như ‘gầy–béo’.,163
