config,source_row,statement_raw,statement_processed,evidence_raw,evidence_processed,model_text
P1_clean_segment,10,"Hành vi của hai nguyên phó chủ tịch Hà Nội và nhiều lãnh đạo, cán bộ sở ngành được cơ quan C02 đánh giá là ""có dấu hiệu sai phạm"", nhưng những người này bị ông Chung chi phối, chỉ đạo và áp đặt thực hiện nên C02 kết luận họ ""không vụ lợi, không có động cơ cá nhân khác và không biết hành vi nâng khống giá cây"".","Hành_vi của hai nguyên phó chủ_tịch Hà_Nội và nhiều lãnh_đạo , cán_bộ sở ngành được cơ_quan C02 đánh_giá là "" có dấu_hiệu sai_phạm "" , nhưng những người này bị ông Chung chi_phối , chỉ_đạo và áp_đặt thực_hiện nên C02 kết_luận họ "" không vụ_lợi , không có động_cơ cá_nhân khác và không biết hành_vi nâng khống giá cây "" .","C03 đánh giá hành vi của hai nguyên phó chủ tịch Hà Nội và nhiều lãnh đạo, cán bộ sở ngành trên là ""có dấu hiệu sai phạm"". Tuy nhiên, những người này bị ông Chung chi phối, chỉ đạo và áp đặt. C03 nhận định họ ""không vụ lợi, không có động cơ cá nhân khác và không biết hành vi nâng khống giá cây"".","C03 đánh_giá hành_vi của hai nguyên phó chủ_tịch Hà_Nội và nhiều lãnh_đạo , cán_bộ sở ngành trên là "" có dấu_hiệu sai_phạm "" . Tuy_nhiên , những người này bị ông Chung chi_phối , chỉ_đạo và áp_đặt . C03 nhận_định họ "" không vụ_lợi , không có động_cơ cá_nhân khác và không biết hành_vi nâng khống giá cây "" .","Hành_vi của hai nguyên phó chủ_tịch Hà_Nội và nhiều lãnh_đạo , cán_bộ sở ngành được cơ_quan C02 đánh_giá là "" có dấu_hiệu sai_phạm "" , nhưng những người này bị ông Chung chi_phối , chỉ_đạo và áp_đặt thực_hiện nên C02 kết_luận họ "" không vụ_lợi , không có động_cơ cá_nhân khác và không biết hành_vi nâng khống giá cây "" . C03 đánh_giá hành_vi của hai nguyên phó chủ_tịch Hà_Nội và nhiều lãnh_đạo , cán_bộ sở ngành trên là "" có dấu_hiệu sai_phạm "" . Tuy_nhiên , những người này bị ông Chung chi_phối , chỉ_đạo và áp_đặt . C03 nhận_định họ "" không vụ_lợi , không có động_cơ cá_nhân khác và không biết hành_vi nâng khống giá cây "" ."
P1_clean_segment,11,"Dự báo nhu cầu điện sẽ tiếp tục tăng trong giai đoạn tới, lên cao nhất 27,3% vào năm 2025 và đến năm 2024 tăng lên khoảng 26%.","Dự_báo nhu_cầu điện sẽ tiếp_tục tăng trong giai_đoạn tới , lên cao nhất 27,3 % vào năm 2025 và đến năm 2024 tăng lên khoảng 26 % .","Dự báo nhu cầu điện sẽ tiếp tục tăng trong giai đoạn tới, lên cao nhất 27,3% vào năm 2025.","Dự_báo nhu_cầu điện sẽ tiếp_tục tăng trong giai_đoạn tới , lên cao nhất 27,3 % vào năm 2025 .","Dự_báo nhu_cầu điện sẽ tiếp_tục tăng trong giai_đoạn tới , lên cao nhất 27,3 % vào năm 2025 và đến năm 2024 tăng lên khoảng 26 % . Dự_báo nhu_cầu điện sẽ tiếp_tục tăng trong giai_đoạn tới , lên cao nhất 27,3 % vào năm 2025 ."
P1_clean_segment,12,"Trường tiểu học Kim Giang tổ chức dã ngoại cho khối 3, 4, 5 nhân dịp ngày thành lập Đoàn Thanh niên Cộng sản Hồ Chí Minh.","Trường tiểu_học Kim_Giang tổ_chức dã_ngoại cho khối 3 , 4 , 5 nhân_dịp ngày thành_lập Đoàn Thanh_niên Cộng_sản Hồ_Chí_Minh .","Trường tiểu học Kim Giang tổ chức dã ngoại cho khối 3, 4, 5.","Trường tiểu_học Kim_Giang tổ_chức dã_ngoại cho khối 3 , 4 , 5 .","Trường tiểu_học Kim_Giang tổ_chức dã_ngoại cho khối 3 , 4 , 5 nhân_dịp ngày thành_lập Đoàn Thanh_niên Cộng_sản Hồ_Chí_Minh . Trường tiểu_học Kim_Giang tổ_chức dã_ngoại cho khối 3 , 4 , 5 ."
P1_clean_segment,13,Bà Huệ đã bị kỷ luật khiển trách vào tháng 6 năm 2020.,Bà Huệ đã bị kỷ_luật khiển_trách vào tháng 6 năm 2020 .,"Trong đó, năm 2020, bà Huệ bị kỷ luật khiển trách.","Trong đó , năm 2020 , bà Huệ bị kỷ_luật khiển_trách .","Bà Huệ đã bị kỷ_luật khiển_trách vào tháng 6 năm 2020 . Trong đó , năm 2020 , bà Huệ bị kỷ_luật khiển_trách ."
P1_clean_segment,14,"Ông Nguyễn Hoài Nam sinh năm 1980 - đại diện Trung tâm Chuyển đổi số và Thống kê nông nghiệp kiến nghị Bộ Nông nghiệp và Phát triển nông thôn, cần xây dựng tài liệu hướng dẫn kết nối, chia sẻ dữ liệu và sớm ban hành bộ tiêu chí về truy xuất nguồn gốc, chuỗi cung ứng, hệ thống truy xuất nguồn gốc quốc gia cần được xây dựng, phát triển theo hướng kết nối, liên thông và tập trung tương tự như mô hình Cổng dịch vụ công quốc gia.","Ông Nguyễn_Hoài_Nam sinh năm 1980 - đại_diện Trung_tâm Chuyển_đổi số và Thống_kê nông_nghiệp kiến_nghị Bộ_Nông_nghiệp và_Phát_triển_nông_thôn , cần xây_dựng tài_liệu hướng_dẫn kết_nối , chia_sẻ dữ_liệu và sớm ban_hành bộ tiêu_chí về truy_xuất nguồn_gốc , chuỗi cung_ứng , hệ_thống truy_xuất nguồn_gốc quốc_gia cần được xây_dựng , phát_triển theo hướng kết_nối , liên_thông và tập_trung tương_tự như mô_hình Cổng dịch_vụ công quốc_gia .","ông Nam kiến nghị hệ thống truy xuất nguồn gốc quốc gia cần được xây dựng, phát triển theo hướng kết nối, liên thông và tập trung tương tự như mô hình Cổng dịch vụ công quốc gia. Bộ Nông nghiệp và Phát triển nông thôn, cần xây dựng tài liệu hướng dẫn kết nối, chia sẻ dữ liệu và sớm ban hành bộ tiêu chí về truy xuất nguồn gốc, chuỗi cung ứng","ông Nam kiến_nghị hệ_thống truy_xuất nguồn_gốc quốc_gia cần được xây_dựng , phát_triển theo hướng kết_nối , liên_thông và tập_trung tương_tự như mô_hình Cổng dịch_vụ công quốc_gia . Bộ Nông_nghiệp và_Phát_triển_nông_thôn , cần xây_dựng tài_liệu hướng_dẫn kết_nối , chia_sẻ dữ_liệu và sớm ban_hành bộ tiêu_chí về truy_xuất nguồn_gốc , chuỗi cung_ứng","Ông Nguyễn_Hoài_Nam sinh năm 1980 - đại_diện Trung_tâm Chuyển_đổi số và Thống_kê nông_nghiệp kiến_nghị Bộ_Nông_nghiệp và_Phát_triển_nông_thôn , cần xây_dựng tài_liệu hướng_dẫn kết_nối , chia_sẻ dữ_liệu và sớm ban_hành bộ tiêu_chí về truy_xuất nguồn_gốc , chuỗi cung_ứng , hệ_thống truy_xuất nguồn_gốc quốc_gia cần được xây_dựng , phát_triển theo hướng kết_nối , liên_thông và tập_trung tương_tự như mô_hình Cổng dịch_vụ công quốc_gia . ông Nam kiến_nghị hệ_thống truy_xuất nguồn_gốc quốc_gia cần được xây_dựng , phát_triển theo hướng kết_nối , liên_thông và tập_trung tương_tự như mô_hình Cổng dịch_vụ công quốc_gia . Bộ Nông_nghiệp và_Phát_triển_nông_thôn , cần xây_dựng tài_liệu hướng_dẫn kết_nối , chia_sẻ dữ_liệu và sớm ban_hành bộ tiêu_chí về truy_xuất nguồn_gốc , chuỗi cung_ứng"
P1_clean_segment,15,Khi chung cư bị tiêu hủy thì các giấy tờ sở hữu chung cư vẫn còn hiệu lực.,Khi chung_cư bị tiêu_hủy thì các giấy_tờ sở_hữu chung_cư vẫn còn hiệu_lực .,"Giải trình sau đó, về quy định sở hữu nhà chung cư như dự thảo, Bộ trưởng Bộ Xây dựng Nguyễn Thanh Nghị cho hay việc trình phương án này vì mục tiêu bảo vệ sức khỏe, tính mạng của nhân dân khi công trình mất an toàn, không đảm bảo điều kiện sử dụng. Ngoài ra, Bộ luật dân sự cũng có quy định các trường hợp chấm dứt quyền sở hữu tài sản, trong đó có tài sản bị tiêu hủy hay trường hợp khác do luật quy định. Đồng thời quy định trường hợp nhà chung cư bị tiêu hủy thì quyền chủ sở hữu thực hiện theo quy định của luật.","Giải_trình sau đó , về quy_định sở_hữu nhà chung_cư như dự_thảo , Bộ_trưởng Bộ Xây_dựng Nguyễn_Thanh_Nghị cho_hay việc trình phương_án này vì mục_tiêu bảo_vệ sức_khỏe , tính_mạng của nhân_dân khi công_trình mất an_toàn , không đảm_bảo điều_kiện sử_dụng . Ngoài_ra , Bộ_luật_dân_sự cũng có quy_định các trường_hợp chấm_dứt quyền_sở_hữu tài_sản , trong đó có tài_sản bị tiêu_hủy hay trường_hợp khác do luật quy_định . Đồng_thời quy_định trường_hợp nhà chung_cư bị tiêu_hủy thì quyền chủ_sở_hữu thực_hiện theo quy_định của luật .","Khi chung_cư bị tiêu_hủy thì các giấy_tờ sở_hữu chung_cư vẫn còn hiệu_lực . Giải_trình sau đó , về quy_định sở_hữu nhà chung_cư như dự_thảo , Bộ_trưởng Bộ Xây_dựng Nguyễn_Thanh_Nghị cho_hay việc trình phương_án này vì mục_tiêu bảo_vệ sức_khỏe , tính_mạng của nhân_dân khi công_trình mất an_toàn , không đảm_bảo điều_kiện sử_dụng . Ngoài_ra , Bộ_luật_dân_sự cũng có quy_định các trường_hợp chấm_dứt quyền_sở_hữu tài_sản , trong đó có tài_sản bị tiêu_hủy hay trường_hợp khác do luật quy_định . Đồng_thời quy_định trường_hợp nhà chung_cư bị tiêu_hủy thì quyền chủ_sở_hữu thực_hiện theo quy_định của luật ."
P1_clean_segment,16,"Sở Giáo dục và Đào tạo TP.HCM vừa có văn bản khẩn gửi các trường rà soát, tăng cường các biện pháp đảm bảo an toàn trường học.","Sở Giáo_dục_và_Đào_tạo TP.HCM vừa có văn_bản khẩn_gửi các trường rà_soát , tăng_cường các biện_pháp đảm_bảo an_toàn trường_học .","Sở Giáo dục và Đào tạo TP Hồ Chí Minh đã có văn bản khẩn gửi đến các cơ sở giáo dục rà soát, chấn chỉnh công tác an toàn trường học tại các cơ sở giáo dục trên địa bàn TP Hồ Chí Minh.","Sở Giáo_dục_và_Đào_tạo TP Hồ_Chí_Minh đã có văn_bản khẩn_gửi đến các cơ_sở giáo_dục rà_soát , chấn_chỉnh công_tác an_toàn trường_học tại các cơ_sở giáo_dục trên địa_bàn TP Hồ_Chí_Minh .","Sở Giáo_dục_và_Đào_tạo TP.HCM vừa có văn_bản khẩn_gửi các trường rà_soát , tăng_cường các biện_pháp đảm_bảo an_toàn trường_học . Sở Giáo_dục_và_Đào_tạo TP Hồ_Chí_Minh đã có văn_bản khẩn_gửi đến các cơ_sở giáo_dục rà_soát , chấn_chỉnh công_tác an_toàn trường_học tại các cơ_sở giáo_dục trên địa_bàn TP Hồ_Chí_Minh ."
P1_clean_segment,17,"ICAO công bố dự báo trên song truyền hình VTV ngày 8/2 dự báo về sự phục hồi và tăng trưởng hoàn toàn, bền vững của nhu cầu hành khách hàng không năm 2023.","ICAO công_bố dự_báo trên song truyền_hình VTV ngày 8/2 dự_báo về sự phục_hồi và tăng_trưởng hoàn_toàn , bền_vững của nhu_cầu hành_khách_hàng không năm 2023 .","Ngày 8/2, ICAO công bố dự báo dự báo về sự phục hồi và tăng trưởng hoàn toàn, bền vững của nhu cầu hành khách hàng không năm 2023","Ngày 8/2 , ICAO công_bố dự_báo dự_báo về sự phục_hồi và tăng_trưởng hoàn_toàn , bền_vững của nhu_cầu hành_khách_hàng không năm 2023","ICAO công_bố dự_báo trên song truyền_hình VTV ngày 8/2 dự_báo về sự phục_hồi và tăng_trưởng hoàn_toàn , bền_vững của nhu_cầu hành_khách_hàng không năm 2023 . Ngày 8/2 , ICAO công_bố dự_báo dự_báo về sự phục_hồi và tăng_trưởng hoàn_toàn , bền_vững của nhu_cầu hành_khách_hàng không năm 2023"
P1_clean_segment,18,"Bao gồm cả việc thanh sát hiện trường, giới hạn Nga và Mỹ chỉ được sở hữu không quá 1.650 đầu đạn hạt nhân được triển khai và yêu cầu một loạt bước xác nhận từ khi New START có hiệu lực vào năm 2011.","Bao_gồm cả việc thanh_sát hiện_trường , giới_hạn Nga và Mỹ chỉ được sở_hữu không quá 1.650 đầu đạn hạt_nhân được triển_khai và yêu_cầu một loạt bước xác_nhận từ khi New_START có hiệu_lực vào năm 2011 .","New START có hiệu lực vào năm 2011, giới hạn Nga và Mỹ chỉ được sở hữu không quá 1.550 đầu đạn hạt nhân được triển khai và yêu cầu một loạt bước xác nhận, bao gồm cả việc thanh sát hiện trường","New_START có hiệu_lực vào năm 2011 , giới_hạn Nga và Mỹ chỉ được sở_hữu không quá 1.550 đầu đạn hạt_nhân được triển_khai và yêu_cầu một loạt bước xác_nhận , bao_gồm cả việc thanh_sát hiện_trường","Bao_gồm cả việc thanh_sát hiện_trường , giới_hạn Nga và Mỹ chỉ được sở_hữu không quá 1.650 đầu đạn hạt_nhân được triển_khai và yêu_cầu một loạt bước xác_nhận từ khi New_START có hiệu_lực vào năm 2011 . New_START có hiệu_lực vào năm 2011 , giới_hạn Nga và Mỹ chỉ được sở_hữu không quá 1.550 đầu đạn hạt_nhân được triển_khai và yêu_cầu một loạt bước xác_nhận , bao_gồm cả việc thanh_sát hiện_trường"
P1_clean_segment,19,"Anh NVT (41 tuổi, ngụ quận 3, TP.HCM) kể nhận được điện thoại báo con ngã bị chấn thương sọ não, anh T đã chuyển 10 triệu đồng cho đối tượng.","Anh NVT ( 41 tuổi , ngụ quận 3 , TP.HCM ) kể nhận được điện_thoại báo con ngã bị chấn_thương sọ não , anh T đã chuyển 10 triệu đồng cho đối_tượng .","anh NVT (41 tuổi, ngụ quận 3, TP.HCM) kể nhận được điện thoại báo con ngã bị chấn thương sọ não anh T đã chuyển 50 triệu đồng cho đối tượng.","anh NVT ( 41 tuổi , ngụ quận 3 , TP.HCM ) kể nhận được điện_thoại báo con ngã bị chấn_thương sọ não anh T đã chuyển 50 triệu đồng cho đối_tượng .","Anh NVT ( 41 tuổi , ngụ quận 3 , TP.HCM ) kể nhận được điện_thoại báo con ngã bị chấn_thương sọ não , anh T đã chuyển 10 triệu đồng cho đối_tượng . anh NVT ( 41 tuổi , ngụ quận 3 , TP.HCM ) kể nhận được điện_thoại báo con ngã bị chấn_thương sọ não anh T đã chuyển 50 triệu đồng cho đối_tượng ."
