claim_id,claim_index,statement,retrieved_evidence,gold_label,predicted_label,is_correct
dev_5834,5834,Một trong những thỏa thuận giữa hai bên là chuyển đổi cơ chế hoạt động của Trường Đại học Hà Tĩnh thành trường đại học thành viên của ĐH Quốc gia Hà Nội.,Một trong những nội dung 2 bên ký kết là sẽ xây dựng đề án chuyển đổi cơ chế hoạt động Trường ĐH Hà Tĩnh trở thành trường ĐH thành viên của ĐH Quốc gia Hà Nội.,Supported,Refuted,False
dev_2641,2641,Tang lễ tri ân những người hi sinh trong thảm họa có sự tham gia của chủ tịch Raúl Castro và đại tướng Miguel Díaz-Canel diễn ra trong hai ngày 18 và 19/8.,"Những người lính cứu hỏa, binh sĩ và cư dân thành phố Matanzas tiễn đưa và vinh danh những người đã hy sinh trong vụ hỏa hoạn xảy ra tại kho chứa nhiên liệu bên vịnh Matanzas - Ảnh: Granma.cu Bất chấp thời tiết nắng nóng gay gắt, hàng dài những người lính cứu hỏa, binh sĩ và cư dân thành phố Matanzas đã diễu hành chậm rãi để tiễn đưa và vinh danh những người đã hy sinh. Đại tướng Raúl Castro và Chủ tịch Cuba Miguel Díaz-Canel dẫn đầu đội danh dự tang lễ.",Refuted,NEI,False
dev_5295,5295,"Bạn của Lực kêu chị của nạn nhân đưa điện thoại mà Lực từng sử dụng vì là đồ bạn của Lục cho mượn, để xóa tin nhắn gì đó.","Còn theo chị của nạn nhân, lúc ở bệnh viện có một người bạn của Lực kêu chị này đưa điện thoại mà Lực từng sử dụng, để xoá tin nhắn gì đó nhưng chị không đồng ý.",NEI,Refuted,False
dev_1395,1395,"TBI là tổ chức kinh doanh do cựu Thủ tướng Tony Blair thành lập để hỗ trợ chính phủ các nước giải quyết các thách thức lớn về kinh tế, xã hội và chính trị.","Thủ tướng Phạm Minh Chính bày tỏ trân trọng những đóng góp của ông Tony Blair cho quan hệ Việt Nam-Anh trong nhiệm kỳ Thủ tướng Vương quốc Anh, đánh giá cao ngài cựu Thủ tướng và các cộng sự Viện TBI đã dành tình cảm, sự quan tâm hợp tác với các bộ ngành, cơ quan của Việt Nam - Ảnh: VGP/Nhật Bắc TBI là tổ chức phi lợi nhuận do cựu Thủ tướng Tony Blair thành lập với mục tiêu hỗ trợ chính phủ các nước giải quyết các thách thức lớn về kinh tế, xã hội và chính trị thông qua việc xây dựng chiến lược và chính sách, thúc đẩy toàn cầu hóa.",Refuted,Supported,False
dev_452,452,"Để đảm bảo tiến độ triển khai thành công, hiệu quả Chương trình phục hồi và phát triển kinh tế - xã hội cần khẩn trương, chủ động triển khai Nghị quyết số 44/2022/QH15 ngày 11/1/2022.","* Để bảo đảm tiến độ triển khai thành công, hiệu quả Chương trình phục hồi và phát triển kinh tế - xã hội, tại Thông báo số 193/TB-VPCP, Phó Thủ tướng Lê Văn Thành cũng đã yêu cầu các bộ, ngành, địa phương khẩn trương, chủ động triển khai các cơ chế, giải pháp đã được quy định rõ trong các Nghị quyết của Quốc hội (số 43/2022/QH15 ngày 11/1/2022 và số 44/2022/QH15 ngày 11/1/2022) và các Nghị quyết của Chính phủ (số 11/NQ-CP ngày 30/1/2022 và số 18/NQ-CP ngày 11/2/2022) bảo đảm tiến độ, chất lượng các dự án thuộc Chương trình phục hồi và phát triển kinh tế - xã hội.",Refuted,Supported,False
dev_307,307,"Sở GD-ĐT Hà Nội đã ra văn bản yêu cầu các nhà trường thực hiện ngay một số biện pháp phòng ngừa sau khi phụ huynh một số trường học ở Hà Nội nhận được điện thoại với chiêu lừa ""con đang cấp cứu, chuyển tiền gấp"".","Sau khi phụ huynh một số trường học ở Hà Nội nhận được điện thoại với chiêu lừa ""con đang cấp cứu, chuyển tiền gấp"", Sở GD-ĐT Hà Nội đã ra văn bản yêu cầu các nhà trường thực hiện ngay một số biện pháp phòng ngừa.",Supported,Refuted,False
dev_3913,3913,"Thời gian nhận hồ sơ đăng ký dự thi các môn năng khiếu đợt 1 để xét tuyển các ngành: kiến trúc, thiết kế đồ hoạ, thiết kế thời trang, thiết kế nội thất, quy hoạch vùng và đô thị, tổ hợp có môn năng khiếu của ngành quản lý thể dục thể thao đã được công bố.","Năm nay, Trường ĐH Tôn Đức Thắng tổ chức cho thí sinh đăng ký dự thi các môn năng khiếu để xét tuyển vào ĐH đối với các ngành: kiến trúc, thiết kế đồ hoạ, thiết kế thời trang, thiết kế nội thất, quy hoạch vùng và đô thị, tổ hợp có môn năng khiếu của ngành quản lý thể dục thể thao theo 4 phương thức xét tuyển.",Supported,NEI,False
dev_4418,4418,Việc hoạch định kế hoạch tài chính càng sớm càng có lợi thế mặc dù thời gian tích lũy không phải yếu tố quyết định.,"Điều này cho thấy việc hoạch định kế hoạch tài chính càng sớm sẽ càng có lợi thế, nhất là với đối tượng GenZ bởi nhóm này có nhiều thời gian để thực hiện.",Refuted,NEI,False
dev_6264,6264,"Với các mái vòm cao tới 32m, Nhà thờ Đức Bà Paris được xây dựng vào giữa thế kỷ 12 và là tòa nhà cao nhất từng được xây dựng vào thời điểm đó.",Nhà thờ Đức Bà Paris được xây dựng vào giữa thế kỷ 12 và là tòa nhà cao nhất từng được xây dựng vào thời điểm đó với các mái vòm cao tới 32m.,Refuted,Supported,False
dev_3161,3161,"Tỉ phú Jack Ma (Mã Vân) đã về nước sau hơn một năm kín tiếng ở nước ngoài và đã gặp các giáo viên và học sinh tại trường Yungu, một trường tư thục đào tạo từ cấp mẫu giáo đến trung học, hoạt động dưới sự tài trợ của công ty Alibaba trong hôm 27.3.","Hôm nay 27.3, ông Jack Ma đã gặp các giáo viên và học sinh tại trường Yungu, một trường tư thục đào tạo từ cấp mẫu giáo đến trung học, hoạt động dưới sự tài trợ của công ty Alibaba.",Supported,NEI,False
dev_154,154,"Bộ Chính trị khẳng định nhiệm vụ chiến lược, thường xuyên của Đảng, Nhà nước là tiếp tục đổi mới và phát huy chính sách xã hội, đồng thời, Bộ yêu cầu xây dựng và thực hiện chính sách xã hội phải đặt trong tổng thể quản lý phát triển xã hội bền vững.","Bộ Chính trị khẳng định việc tiếp tục đổi mới, phát huy hiệu quả chính sách xã hội là nhiệm vụ chiến lược, thường xuyên của Đảng, Nhà nước nhằm thực hiện tăng trưởng kinh tế đi đôi với thực hiện tiến bộ và công bằng xã hội.",Supported,NEI,False
dev_964,964,"Có 41 học sinh được đưa đến khám tại một số bệnh viện, còn lại được cho về nhà nghỉ ngơi.","Trong đó, 41 học sinh đã được đưa đến khám tại một số bệnh viện.",Refuted,NEI,False
dev_78,78,Hàng xóm tử vong do đạp trúng dây điện bẫy chuột của ông Long.,"(Dân trí) - Khi đi thu dây điện giăng trước đó để bẫy chuột, ông Long phát hiện hàng xóm bị điện giật tử vong.",NEI,Supported,False
dev_4284,4284,"Trưởng ban Văn hóa - Xã hội HĐND TP.HCM bà Nguyễn Thị Thu Hằng cho rằng Thông tư 55 không cấm việc thu quỹ Ban đại diện CMHS, nếu nhà trường vì áp lực không tổ chức thu quỹ cũng như triển khai việc kêu gọi tài trợ sẽ gây thiệt thòi cho HS cũng như giáo viên của trường.","Ông Cao Thanh Bình, Trưởng ban Văn hóa - Xã hội HĐND TP.HCM, cho rằng Thông tư 55 không cấm việc thu quỹ Ban đại diện CMHS, tuy nhiên vấn đề cần phải hiểu để thực hiện cho đúng.",Refuted,NEI,False
dev_1247,1247,Biểu hiện bệnh sẽ rõ ở lúc đầu nên cần được phát hiện sớm để tránh nguy cơ biến chứng đột quỵ hay liệt vận động.,"Nguy hiểm hơn có thể gây đột quỵ, liệt vận động.",Refuted,NEI,False
dev_6477,6477,"Một số cầu thủ muốn về quê nhưng không có đủ tiền vì họ chưa được ký hợp đồng và chưa nhận được tiền lương, ăn tập thì phải tự túc.",Một số cầu thủ cho biết muốn được về quê nhưng không còn tiền để về.,Supported,NEI,False
dev_6580,6580,"Cơ sở Cải huấn Pendleton là nhà tù an ninh tối đa, nơi giam giữ những nam thanh niên phạm tội giết người, cướp của và hiếp dâm.","Cơ sở này giam giữ những nam thanh niên phạm tội giết người, cướp của, hiếp dâm.",Supported,NEI,False
dev_4649,4649,World Cup 2026 được nhiều người mong chờ sẽ có cuộc đối đầu giữa Messi và Ronaldo.,(PLO)- Messi chưa chia tay với đội tuyển Argentina và còn nghĩ đến World Cup 2026 trong khi Ronaldo vẫn là nhân vật quan trọng của Bồ Đào Nha và được HLV Roberto Martinez trao quyền lực ở đội tuyển.,Supported,Refuted,False
dev_1641,1641,Cơ quan chức năng phát hiện có hơn 10 sạp lớn nhỏ đã được xây dựng kiên cố trên diện tích đất rừng bà Lệ được giao và ông Bình có tổng 14 sạp lớn nhỏ.,"Quá trình kiểm tra, cơ quan chức năng phát hiện có hơn 10 sạp lớn nhỏ bằng trụ sắt bê tông, cùng nhà ở, nhà bếp, nhà kho, nhà vệ sinh, cầu bê tông…",Supported,NEI,False
dev_7157,7157,"Trường tiểu học Kim Giang tổ chức cho học sinh khối lớp 1 và lớp 2 đi tham quan tại trang trại Cánh Buồm Xanh tại huyện Gia Lâm, đến tối cùng ngày, đã có 41 cháu phải nhập viện vì có biểu hiện đau bụng, buồn nôn.","Tối 28/3, UBND Quận Thanh Xuân thông tin sự việc, hôm nay Trường tiểu học Kim Giang tổ chức cho học sinh khối lớp 1 và lớp 2 đi tham quan tại trang trại Cánh Buồm Xanh tại huyện Gia Lâm.",Supported,NEI,False
dev_1492,1492,Cả Nga và Ukraine đều chấp nhận cho Liên hợp quốc đến giám sát khu vực nhà máy hạt nhân Zaporizhzhia.,Người đứng đầu cơ quan giám sát hạt nhân của Liên hợp quốc đã có chuyến thăm thứ hai tới nhà máy hạt nhân Zaporizhzhia giữa lúc xung đột leo thang xung quanh khu vực này.,Supported,NEI,False
dev_5344,5344,Lưng voi không có cấu tạo phù hợp với việc chở nặng vì xương sống của chúng mở lên trên.,"Lưng voi không có cấu tạo phù hợp để chở nặng, theo Tom Taylor, giám đốc dự án tại WFFT.",Supported,NEI,False
dev_1824,1824,"Cuộc họp đầu tiên để xúc tiến việc chuẩn bị hồ sơ đăng cai World Cup 2034 được tổ chức ngày 22/3, do ông Niwat Limsuknirun chủ trì.","TPO - Các quan chức thể thao ASEAN, đại diện Liên đoàn Bóng đá ASEAN và các Liên đoàn Bóng đá các nước Đông Nam Á đã tổ chức cuộc họp đầu tiên để xúc tiến việc chuẩn bị hồ sơ đăng cai World Cup 2034.",Supported,NEI,False
dev_5263,5263,"Một thỏa thuận cấp chuyên gia của IMF đạt được với Ukraine vào ngày 21/3, Ukraine sẽ gia nhập Liên minh châu Âu (EU) sau chiến tranh trong tháng 4 tới.","Quyết định này chính thức hóa một thỏa thuận cấp chuyên gia của IMF đạt được với Ukraine vào ngày 21/3 vừa qua, trong đó có tính đến con đường Ukraine gia nhập Liên minh châu Âu (EU) sau chiến tranh. Theo IMF, thỏa thuận này dự kiến sẽ giúp giải phóng nguồn tài chính ưu đãi quy mô lớn dành cho Ukraine từ các nhà tài trợ và đối tác quốc tế khác.",NEI,Refuted,False
dev_1593,1593,World Cup 2022 là mùa World Cup thành công của Messi nhưng lại là thất bại của Ronaldo.,"Tại World Cup 2022, Messi vẫn là cầu thủ không thể thiếu của Argentina góp phần lớn trong chiếc cúp vô địch lần thứ ba của Argentina.",Supported,Refuted,False
dev_2302,2302,Một phụ huynh chia sẻ trên mạng xã hội rằng con gái mình bị hai đối tượng dụ dỗ và có ý đồ bắt cóc nhưng cháu hét lên và có bảo vệ can thiệp nên các đối tượng đã bỏ chạy.,"Sau đó, hai người đó, dắt tay bạn của cháu nhưng cháu kéo bạn đi cùng và hét lên nên họ bỏ chạy trước cổng trường cấp 1 Bến Thủy…"", dòng trạng thái của một phụ huynh chia sẻ trên mạng xã hội.",NEI,Refuted,False
dev_4210,4210,Shakira đã tạm dừng kế hoạch chuyển đến Hoa Kỳ do vấn đề sức khỏe của cha mẹ cô.,Việc cha mẹ gặp vấn đề sức khỏe cũng là lý do gây tác động tới kế hoạch rời khỏi Tây Ban Nha mà Shakira đang ấp ủ.,Supported,Refuted,False
dev_3900,3900,"Thông qua Cổng Thông tin điện tử Chính phủ, Chủ tịch nước và thanh niên cùng thảo luận các vấn đề tại Hội nghị với chủ đề ""Xây dựng nguồn nhân lực trẻ chất lượng cao đáp ứng kỷ nguyên 4.0"".","(Chinhphu.vn) - Sáng 22/3 tại Hà Nội, Thủ tướng Chính phủ Phạm Minh Chính dự và chủ trì Hội nghị đối thoại với thanh niên năm 2023 với chủ đề ""Xây dựng nguồn nhân lực trẻ chất lượng cao đáp ứng kỷ nguyên 4.0"".",Refuted,Supported,False
dev_255,255,"Cơ quan Cảnh sát điều tra Công an TP HCM đề nghị các cá nhân bị các đối tượng gọi điện, nhắn tin, nhắc nợ, chửi bới, đe dọa đến Cơ quan Cảnh sát điều tra Công an TP Hà Nội để tố giác.","Để phục vụ công tác điều tra, Cơ quan Cảnh sát điều tra Công an TP Hà Nội đề nghị các cá nhân đã từng vay tiền hoặc cá nhân không vay tiền nhưng bị các đối tượng gọi điện, nhắn tin, nhắc nợ, chửi bới, đe dọa...",Refuted,NEI,False
dev_2895,2895,"Đồng chí Thượng tá Phan Thắng tuy có ít nỗ lực, cống hiến và tham mưu, nhưng vẫn lăn lộn bám sát cơ sở, bộ đội, tâm huyết, trách nhiệm với đơn vị, kịp thời xử lý có hiệu quả các tình huống phát sinh, giúp nhân dân phòng, chống và khắc phục các hậu quả thiên tai, dịch bệnh.","Đồng chí luôn lăn lộn bám sát cơ sở, bộ đội, tâm huyết, trách nhiệm với đơn vị; xử trí kịp thời, hiệu quả các tình huống phát sinh; lăn xả giúp nhân dân phòng, chống, khắc phục hậu quả thiên tai, dịch bệnh. Tiêu biểu như những lần sơ tán dân tránh lũ; tham gia cứu hộ, cứu nạn sự cố sạt lở đất ở nhà máy thủy điện Rào Trăng 3; phòng, chống dịch COVID-19.",Refuted,NEI,False
dev_7363,7363,"Việt Nam luôn theo dõi các hoạt động trên Biển Đông, đề phòng có sự xâm phạm trái phép của các quốc gia khác.","“Các cơ quan chức năng Việt Nam luôn theo sát những diễn biến trên Biển Đông, kiên quyết, kiên trì thực hiện các biện pháp quản lý và thực thi pháp luật trên biển phù hợp với luật pháp quốc tế, đặc biệt là Công ước của Liên Hợp Quốc về Luật Biển năm 1982 và pháp luật Việt Nam để bảo vệ các quyền hợp pháp của mình”, Phó Phát ngôn viên Phạm Thu Hằng tuyên bố như vậy để trả lời câu hỏi của báo chí về diễn biến này.",NEI,Refuted,False
dev_2819,2819,"Nếu dữ liệu đúng, phụ huynh có thời gian 10 ngày thao tác thử, trong giai đoạn thứ hai là giai đoạn chính thức từ ngày 21/5 đến ngày 31/5, Sở Giáo dục và Đào tạo sẽ tập huấn cho từng trường và trường sẽ hướng dẫn cho phụ huynh và có những bảng hướng dẫn bằng hình ảnh chi tiết nội dung để phụ huynh có thể thực hiện được thao tác đăng nhập vào phần mềm tuyển sinh một cách dễ dàng.","Trong thời gian này, Sở Giáo dục và Đào tạo sẽ tập huấn cho từng trường và trường sẽ hướng dẫn cho phụ huynh và có những bảng hướng dẫn bằng hình ảnh chi tiết nội dung để phụ huynh có thể thực hiện được thao tác đăng nhập vào phần mềm tuyển sinh một cách dễ dàng.",Refuted,NEI,False
dev_2834,2834,"Cô Lê Hạnh 1 năm trước vẫn còn rất lo lắng khi mắc bệnh tiểu đường kèm mỡ máu xấu, nhưng cô đã tìm lại được cuộc sống yên bình nhờ có sản phẩm được tin dùng số 1 Việt Nam.",Nhưng với “Sản phẩm được tin dùng số 1 Việt Nam trong dòng thảo dược chiết xuất từ dây thìa canh sạch chuẩn quốc tế GACP - WHO cho người tiểu đường” cô đã tìm lại cuộc sống yên bình….,Refuted,NEI,False
dev_1218,1218,"Ở tuổi 58, Tấn Beo vẫn đi diễn cùng con trai ở các tỉnh miền Tây, miền Trung","Ở tuổi 58, Tấn Beo vẫn nhận lời mời lưu diễn ở các tỉnh miền Tây, miền Trung.",NEI,Refuted,False
dev_1955,1955,"Ngân hàng Nhà nước muốn sửa đổi quy định về mua, bán trái phiếu doanh nghiệp tại ngân hàng để có thể tác động tích cực đến thị trường dù vẫn còn một số điểm chưa được đề cập trong bối cảnh nợ xấu trái phiếu tăng từng ngày.","(Dân trí) - Quy định mới về việc ngân hàng mua, bán trái phiếu doanh nghiệp có thể tác động tích cực đến thị trường dù vẫn còn một số điểm chưa được đề cập trong bối cảnh nợ xấu trái phiếu tăng từng ngày.",Supported,NEI,False
dev_2074,2074,"Ủy ban Tài chính, Ngân sách Quốc hội tổ chức hội thảo lấy ý kiến về chính sách tài chính đất đai và giá đất trong dự thảo Luật Đất đai sửa đổi vào ngày hôm qua 23/3, tại hội thảo đã liệt kê các khoản thu tài chính từ đất đai.","(PLO)- Đại diện Cục Quản lý Công sản - Bộ Tài chính cho rằng cần rà soát để quy định đầy đủ các khoản thu tài chính về đất đai và chỉnh sửa tên của từng khoản thu cho phù hợp. Hôm nay (23-3), Ủy ban Tài chính, Ngân sách Quốc hội tổ chức hội thảo lấy ý kiến về chính sách tài chính đất đai và giá đất trong dự thảo Luật Đất đai sửa đổi.",Refuted,NEI,False
dev_2053,2053,"TP. Đà Nẵng cùng với TP. Nha Trang sẽ cố gắng nỗ lực thực hiện tốt sức mệnh bảo vệ và phát huy giá trị ""Ma nhai tại danh thắng Ngũ Hành Sơn"".","(PLO)- TP Đà Nẵng cam kết, sẽ nỗ lực để thực hiện tốt hơn nữa sứ mệnh bảo vệ và phát huy giá trị “Ma nhai tại danh thắng Ngũ Hành Sơn”.",NEI,Refuted,False
dev_2423,2423,Đội tuyển U20 Việt Nam đã có một khởi đầu rất tốt ở giải đấu này nhưng đáng tiếc là không thể vượt qua vòng loại khi phải đối đầu với đội bóng qua 7 lần tham dự đã từng giành 1 chức Á quân.,"(Chinhphu.vn) - Vào 17h chiều nay (1/3, giờ Việt Nam), ĐT U20 Việt Nam bước vào cuộc so tài đầu tiên tại vòng bảng Cúp Bóng đá U20 châu Á, gặp U20 Australia, đội bóng qua 7 lần tham dự đã từng giành 1 chức Á quân, 2 lần vào bán kết và 2 lần vào tứ kết.",NEI,Refuted,False
dev_6734,6734,Không rõ dịch vụ Chuyển vùng toàn cầu sẽ hoạt động tốt như thế nào do Starlink vẫn đang mở rộng mạng vệ tinh của mình.,"Trong email, SpaceX đề cập về việc kết nối internet khi chuyển vùng đôi lúc hoạt động kém hoặc mất tín hiệu do họ vẫn đang mở rộng mạng lưới vệ tinh. Ngoài ra, cũng tùy thị trường mà người dùng có thể phải trả thêm thuế, phí nhập khẩu thiết bị Starlink Kit.",NEI,Refuted,False
dev_1929,1929,"Mọi vấn đề liên quan đến tranh chấp đất đai và đền bù cho các hộ dân bị ảnh hưởng đã được giải quyết xong, dự án Đại lộ Bắc - Nam phía Đông đang triển khai thuận lợi.","Từ đó, làm ảnh hưởng đến công tác tổ chức thi công theo kế hoạch. Cao tốc Bắc - Nam phía Đông, giai đoạn 2021-2025 đoạn qua địa bàn tỉnh Hậu Giang hiện còn 20 đoạn tuyến mặt bằng ""xôi đỗ"" và vướng đường tiếp cận nên chưa triển khai thi công được, tổng chiều dài hơn 10,5km.",Refuted,NEI,False
dev_4203,4203,Đề án đặt mục tiêu đến năm 2020 hoàn thành xử lý toàn bộ hồ sơ tồn đọng trên địa bàn tỉnh Thanh Hóa.,"Tỉnh Thanh Hóa cần khoảng 300 tỷ đồng để hoàn thành xử lý 29.000 m tài liệu tồn đọng từ 1945 đến 2020, theo dự thảo đề án đang được xem xét.",Refuted,NEI,False
dev_3432,3432,"Quảng Trị từ lâu đã được biết đến là mảnh đất của sự kết nối, là cửa ngõ hướng ra biển Đông của 3 nước Đông Dương qua cảng Cửa Việt, cảng Mỹ Thủy.","Quảng Trị cũng là cửa ngõ hướng ra biển Đông của 3 nước Đông Dương qua cảng Cửa Việt, cảng Mỹ Thủy.",Supported,NEI,False
dev_5932,5932,"Đến với giải Asian Cup tại Qatar, tuyển Malaysia đang ráo riết nâng cấp đội hình, còn trong đợt tập trung đội tuyển theo lịch FIFA, tuyển Indonesia đá hai trận giao hữu lượt đi và về với tuyển Burundim và tuyển Indonesia đã giành chiến thắng 3-2.","Trong đợt tập trung đội tuyển theo lịch FIFA này, tuyển Indonesia đá hai trận giao hữu lượt đi và về với tuyển Burundi tại Indonesia.",NEI,Refuted,False
dev_1453,1453,"Cách thủ đô La Habana 100 km về phía Đông, lễ an táng được tổ chức cùng ngày theo nghi thức gia đình tại nghĩa trang San Carlos de Matanzas do Đại tướng Raúl Castro và Chủ tịch Cuba Miguel Díaz-Canel dẫn đầu đội danh dự tang lễ.","Lễ an táng được tổ chức cùng ngày theo nghi thức gia đình tại nghĩa trang San Carlos de Matanzas, cách thủ đô La Habana 100 km về phía Đông. Trước đó, Cuba đã tuyên bố quốc tang và treo cờ rủ trong hai ngày 18 và 19/8 để tri ân những người đã ngã xuống khi làm nhiệm vụ trong thảm họa nói trên.",Supported,NEI,False
dev_7412,7412,Giám đốc Amway Việt Nam nhận giải thưởng doanh nghiệp có vốn đầu tư nước ngoài (FDI) tiên phong trong lĩnh vực chuyển đổi số tại Việt Nam từ Ban tổ chức.,(Chinhphu.vn) - Amway Việt Nam – thương hiệu toàn cầu về sức khỏe và sắc đẹp vinh dự được vinh danh là doanh nghiệp có vốn đầu tư nước ngoài (FDI) tiên phong trong lĩnh vực chuyển đổi số tại Việt Nam tại lễ trao giải thưởng Rồng Vàng 2023.,Refuted,Supported,False
dev_2347,2347,BTC đã lên tiếng việc hủy đêm nhạc của Hiền Hồ và Trịnh Thăng Bình do cả hai dính scandal.,"(Dân trí) - Đơn vị tổ chức mới đây đã lên tiếng việc hủy đêm nhạc của Hiền Hồ và Trịnh Thăng Bình. Sự kiện dự kiến diễn ra ngày 22/4 tại Quảng Ninh. Sáng 30/3, chia sẻ với Dân trí, phía BTC đêm nhạc của Hiền Hồ và Trịnh Thăng Bình xác nhận thông báo hủy diễn đêm nhạc ngày 22/4.",NEI,Refuted,False
dev_7488,7488,Đến năm 2025 một số quận cũng chưa thể đạt chỉ tiêu do tính chất ưu tiên của nguồn vốn cần tập trung để làm việc khác.,Một số địa bàn do tính chất ưu tiên của nguồn vốn chưa tập trung đầu tư cho các dự án trường học.,Supported,NEI,False
dev_5450,5450,Giá vàng trong nước sáng 30/3 cũng có xu hướng giảm nhẹ khi đồng USD mạnh lên đẩy giá vàng thế giới đi xuống và giao dịch quanh mốc 67 triệu đồng/lượng.,"Khi đồng USD mạnh lên đẩy giá vàng thế giới đi xuống, giá vàng trong nước sáng 30/3 cũng có xu hướng giảm nhẹ và giao dịch quanh mốc 67 triệu đồng/lượng.",Supported,Refuted,False
