claim_id,claim_index,statement,retrieved_evidence,gold_label,predicted_label,is_correct,error_type,failure_reason
dev_78,78,Hàng xóm tử vong do đạp trúng dây điện bẫy chuột của ông Long.,"(Dân trí) - Khi đi thu dây điện giăng trước đó để bẫy chuột, ông Long phát hiện hàng xóm bị điện giật tử vong.",NEI,Supported,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_1636,1636,Công tác chuẩn bị cho hoạt động Tư vấn mùa thi ở An Giang diễn ra sáng 19/3 đã sẵn sàng để tư vấn cho các bạn học sinh về các ngành nghề tương lai.,"Công tác chuẩn bị cho hoạt động Tư vấn mùa thi ở An Giang diễn ra sáng mai (19.3) tại Tp.Long Xuyên đã được Báo Thanh Niên phối hợp với các đơn vị liên quan hoàn tất, sẵn sàng hỗ trợ học sinh lớp 12 lựa chọn ngành nghề tương lai.",NEI,Supported,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_2252,2252,Đề án sẽ nâng cao trình độ sản xuất lúa cũng như gia tăng giá trị lúa gạo.,(Chinhphu.vn) - Phát triển bền vững 1 triệu ha lúa chuyên canh chất lượng cao gắn với tăng trưởng xanh vùng Đồng bằng sông Cửu Long sẽ nâng cao trình độ sản xuất lúa cũng như gia tăng giá trị lúa gạo.,NEI,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_7363,7363,"Việt Nam luôn theo dõi các hoạt động trên Biển Đông, đề phòng có sự xâm phạm trái phép của các quốc gia khác.","“Các cơ quan chức năng Việt Nam luôn theo sát những diễn biến trên Biển Đông, kiên quyết, kiên trì thực hiện các biện pháp quản lý và thực thi pháp luật trên biển phù hợp với luật pháp quốc tế, đặc biệt là Công ước của Liên Hợp Quốc về Luật Biển năm 1982 và pháp luật Việt Nam để bảo vệ các quyền hợp pháp của mình”, Phó Phát ngôn viên Phạm Thu Hằng tuyên bố như vậy để trả lời câu hỏi của báo chí về diễn biến này.",NEI,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6359,6359,"Ban Chỉ đạo quốc gia và Ban Chỉ đạo liên ngành hội nhập quốc tế có nhiệm vụ giúp Chỉnh phủ, Thủ tướng Chính phủ chỉ đạo triển khai các chủ trương, chính sách lớn về hội nhập quốc tế.","Bên cạnh đó, Ban Chỉ đạo có nhiệm vụ giúp Chính phủ, Thủ tướng Chính phủ chỉ đạo các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ, UBND các tỉnh, thành phố trực thuộc Trung ương, triển khai các chủ trương, chính sách lớn về hội nhập quốc tế; giải quyết những vấn đề quan trọng, liên ngành liên quan đến hội nhập quốc tế; đồng thời giúp Chính phủ, Thủ tướng Chính phủ phối hợp, đôn đốc các bộ, cơ quan ngang Bộ, cơ quan thuộc Chính phủ, UBND các tỉnh, thành phố trực thuộc Trung ương, trong việc triển khai đồng bộ các chủ trương chính sách về hội nhập quốc tế.",NEI,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_3496,3496,"Đây là năm học đầu tiên HIU trao tặng các suất học bổng lớn như vậy, nhằm tạo điều kiện để ai cũng có thể tiếp cận giáo dục đại học chất lượng từ đó nâng cao số lượng nhân lực chất lượng.","Đây là năm học đầu tiên HIU trao tặng số lượng và giá trị học bổng lớn chưa từng có, với mong muốn tạo cơ hội cho người học ở mọi hoàn cảnh được tiếp cận giáo dục đại học chất lượng cao.",NEI,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6204,6204,"Thiết bị hồng ngoại trung bình của James Webb đã đo sự thay đổi độ sáng khi hành tinh Trappist-1b di chuyển phía sau ngôi sao của nó, cho thấy nhiều nhận định khoa học đột phá.","Thiết bị hồng ngoại trung bình (MIRI) của James Webb đã đo sự thay đổi độ sáng khi hành tinh Trappist-1b di chuyển phía sau ngôi sao của nó, trong một hiện tượng được giới khoa học gọi là nhật thực thứ cấp. Nhà vật lý thiên văn Elsa Ducrot - một trong những tác giả của nghiên cứu trên - cho biết: ""Ngay trước khi bị che khuất phía sau ngôi sao, hành tinh này phát ra nhiều ánh sáng nhất, vì nó hầu như chỉ thể hiện mặt 'ban ngày' của nó"".",NEI,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_4077,4077,Bộ GD&ĐT vừa có phúc đáp kiến nghị của cử tri Thanh Hóa sau khi phát hiện sự không công bằng trong học bạ.,"Bộ GD&ĐT vừa có phúc đáp kiến nghị của cử tri Thanh Hóa về việc nghiên cứu bỏ việc xét tuyển đại học qua học bạ do đang nảy sinh việc ""làm đẹp"" học bạ và ""chạy điểm"".",NEI,Supported,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_2058,2058,Công ty MBP ở Canada đã mất 6 tháng để đúc được khuôn.,"Sau phát hiện ở Argentina, các chuyên gia về khủng long đã quét 3D từng mảnh xương riêng lẻ để tạo ra các bản sao làm từ nhựa polyester và sợi thủy tinh, chúng được gắn trên một cấu trúc thép. Một công ty ở Canada đã mất hơn 6 tháng để thực hiện công việc đúc khuôn khổng lồ, dựa trên số lượng xương hóa thạch được khai quật.",NEI,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_4140,4140,Tàu OOCL Spain mới xuất xưởng vào ngày 16-2-2023 tại Hoa Kỳ là siêu tàu container lớn nhất thế giới.,"Tàu OOCL Spain mới xuất xưởng vào ngày 16-2-2023, được Cục Vận chuyển Hoa Kỳ (ABS) trao tặng chứng nhận ""Tàu thông minh (Smart Ship)"" thân thiện với môi trường và là tàu container lớn nhất từ trước đến nay cập hệ thống cảng Việt Nam.",NEI,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6858,6858,"Bạn sinh viên chia sẻ trên trang HUFLIT nói rằng diễn giả nói nhiều câu rất khó nghe nhưng bạn vẫn phải cố nhịn cho đến lúc kết thúc chương trình, hơn nữa cũng có những bạn khác cảm thấy bức xúc giống như bạn.","Mình biết không phải một mình mình cảm thấy như vậy vì trong lúc ra về, mình có nghe những bạn khác đi cùng thang máy cũng nói y như mình. Mong các đơn vị tổ chức sau này có mời ai thì nên tìm hiểu kỹ về những thông tin người ta chia sẻ để sinh viên không mất thời gian vào những thứ vô bổ"".",Refuted,NEI,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_1591,1591,"Dù các quy định biên chế cứng, nhưng TP.HCM vẫn có nhiều giải pháp giải quyết các mối trăn trở, và chính quyền đã cố gắng giảm bớt gánh nặng, tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị.","Với đề xuất này, chính quyền đô thị TP.HCM có được một giải pháp ổn thỏa, giảm bớt gánh nặng cho chính quyền; tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị.",Refuted,NEI,False,Context Starvation (Thiếu ngữ cảnh quyết định),Câu Top-1 bị thiếu thông tin liên kết đại từ hoặc bối cảnh xung quanh nên bị đoán thành NEI.
dev_6651,6651,"Đội tuyển Thái Lan đều thất bại dễ dàng trong cả 2 trận đấu giao hữu, trước đó ở trận đối đầu gặp Iran, các ""Voi chiến"" đã thua với tỷ số 1-3.","Đội tuyển Thái Lan (trái) thi đấu kém hiệu quả trước UAE FAT ""Cả 2 trận đấu này, đội tuyển Thái Lan đều thất bại khá dễ dàng"", theo tờ Siamsport.",Refuted,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_4284,4284,"Trưởng ban Văn hóa - Xã hội HĐND TP.HCM bà Nguyễn Thị Thu Hằng cho rằng Thông tư 55 không cấm việc thu quỹ Ban đại diện CMHS, nếu nhà trường vì áp lực không tổ chức thu quỹ cũng như triển khai việc kêu gọi tài trợ sẽ gây thiệt thòi cho HS cũng như giáo viên của trường.","Ông Cao Thanh Bình, Trưởng ban Văn hóa - Xã hội HĐND TP.HCM, cho rằng Thông tư 55 không cấm việc thu quỹ Ban đại diện CMHS, tuy nhiên vấn đề cần phải hiểu để thực hiện cho đúng.",Refuted,NEI,False,Phủ định / Đảo ngữ,Bằng chứng chứa quan hệ phủ định nhưng câu đơn lẻ làm mất hướng khẳng định.
dev_3257,3257,"Theo sư cả Xích Dự, tết Thanh minh sẽ nhằm ngày 5/4 dương lịch (15/2 âm lịch) trước Tết Ramưwan là sự kiện có ý nghĩa quan trọng về tâm linh của người Việt, con cháu sẽ đi tảo mộ để sửa sang lại phần mộ của gia tộc cho khang trang, sạch sẽ hơn.","Ngày 21/3, đồng bào Chăm theo đạo Bà ni ở Bình Thuận tập trung về các động (nghĩa trang của người Chăm) để cùng nhau thực hiện nghi thức tảo mộ, cúng thỉnh tổ tiên, ông bà. Đây là phần quan trọng nhất và mở đầu cho Tết Ramưwan - Tết cổ truyền của đồng bào Chăm Bà ni.",Refuted,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6312,6312,Phim điện ảnh “Biệt đội rất ổn” do nữ diễn viên Lê Khánh thủ vai sẽ ra rạp từ ngày 31-4.,(NLĐO) – Nữ diễn viên Lê Khánh tái xuất màn ảnh rộng với vai diễn nữ đại gia miền Tây Tư Xoàn trong phim điện ảnh “Biệt đội rất ổn”.,Refuted,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6087,6087,"Apple cũng thực hiện nâng cấp quan trọng là chuyển cảm biến tiệm cận, vốn được đặt phía dưới Dynamic Island trên iPhone 13 Pro và 13 Pro Max, vào bên trong nó, giúp Apple giảm chi phí sản xuất.","Apple cũng thực hiện nâng cấp quan trọng là chuyển cảm biến tiệm cận, vốn được đặt phía dưới Dynamic Island trên iPhone 14 Pro và 14 Pro Max, vào bên trong nó.",Refuted,NEI,False,Context Starvation (Thiếu ngữ cảnh quyết định),Câu Top-1 bị thiếu thông tin liên kết đại từ hoặc bối cảnh xung quanh nên bị đoán thành NEI.
dev_3538,3538,"Người chú mà ông gắn bó đã bị hành hình vào năm 15 tuổi, ông nhớ về hình ảnh trầm lặng của ông nội mình trước sự ra đi đầy đau xót của đứa con trai.",Tác giả nhớ về hình ảnh trầm lặng của ông nội mình trước sự ra đi đầy đau xót của đứa con trai.,Refuted,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_3498,3498,"Tại sự kiện Đêm hội Weibo tối ngày 27/3, Lưu Diệc Phi đã diện thiết kế xếp hình lông vũ gây sốt cộng đồng mạng.","Tại sự kiện, Lưu Diệc Phi diện thiết kế xếp hình lông vũ.",Refuted,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_170,170,"Việc phân bổ 11.400 máy tính bảng đến tay học sinh có hoàn cảnh khó khăn, hộ nghèo, học sinh có cha mẹ và người thân mất vì COVID-19 có tổng giá trị lên đến 70 tỷ đồng.","Việc phân bổ máy thực hiện theo đúng tinh thần chỉ đạo của Thủ tướng Chính phủ là trao đến tay học sinh có hoàn cảnh khó khăn, hộ nghèo, học sinh có cha mẹ và người thân mất vì COVID-19.",Refuted,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_5778,5778,"HLV trưởng đội tuyển U20 nữ Trung Quốc cho biết bảng B có các cầu thủ rất mạnh, để chiến thắng cần phải có sự quyết tâm cao.","Nhận xét về các đối thủ, HLV trưởng đội tuyển U20 nữ Việt Nam - ông Akira Ijiri cho biết: “Tôi nghĩ chúng ta đã lọt vào bảng đấu gồm các đội rất mạnh. Để giành chiến thắng, chúng ta phải thật quyết tâm.",Refuted,Supported,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_347,347,Do được thuê nên 3 đối tượng đã đến và hành hung anh L.T.T và bạn anh T.,"Tại cơ quan điều tra, các đối tượng khai nhận, khi đến quán hát “HH” thì xảy ra mâu thuẫn, cãi vã với nhóm bạn của anh L.T.T nên Phạm Hoàng Anh đã dùng dao bấm mang theo để tấn công anh L.T.T.",Refuted,Supported,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_1947,1947,"Công ty TNHH Mua bán nợ DSP, địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM mua các khoản nợ mà khách hàng đã vay.","Công an TP HCM khám xét Công ty Mirae Asset Cảnh sát xác định Công ty TNHH Mua bán nợ DSP, địa chỉ: Tầng 4, Chung cư Lữ Gia, số 70 Lữ Gia, phường 15, quận 11, TP HCM, mua các khoản nợ mà khách hàng đã vay của Công ty Tài chính TNHH MTV Mirae Asset Việt Nam (Mã số doanh nghiệp: 0311132506; địa chỉ 91 Pasteur, phường Bến Nghé, quận 1, TP HCM) và một số tổ chức tín dụng khác nhưng không có khả năng trả.",Refuted,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6629,6629,"Theo Bộ trưởng Bộ Thể thao Nga Oleg Matytsin, các điều kiện do Ủy ban Olympic quốc tế (IOC) đưa ra đối với các vận động viên Nga và Belarus là phù hợp và cho rằng đó là việc phân biệt đối xử đối với các vận động viên.","Đoàn người biểu tình trước trụ sở của Ủy ban Olympic quốc tế (IOC) tại Lausanne, Thụy Sĩ ngày 25-3 vừa qua nhằm phản đối các vận động viên Nga tham gia thi đấu tại các giải đấu quốc tế - Ảnh: AP Theo tờ Izvestia, Bộ trưởng Bộ Thể thao Nga Oleg Matytsin đã lên tiếng chỉ trích dữ dội chỉ một ngày sau khi Ủy ban Olympic quốc tế (IOC) đưa ra khuyến nghị về việc để các vận động viên Nga và Belarus trở lại các giải thi đấu quốc tế với tư cách vận động viên trung lập. Theo Bộ trưởng Matytsin, các điều kiện do IOC đưa ra đối với các vận động viên Nga và Belarus là không phù hợp. Đồng thời đó là việc phân biệt đối xử đối với các vận động viên.",Refuted,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_1371,1371,"UAE mới thua 2 ở 10 lần ra sân vừa qua, Thái Lan đang chơi tốt hơn bởi họ chỉ thua 2 trong 10 trận gần nhất.","Nếu nhìn vào phong độ, có thể nhận xét rằng Thái Lan đang chơi tốt hơn bởi họ chỉ thua 2 trong 10 trận gần nhất, ngược lại UAE mới thắng 2 ở 10 lần ra sân vừa qua, còn lại là 6 thất bại.",Refuted,Supported,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_427,427,Ông Tim Noakesmith nói việc chọn thịt voi ma mút lông xoắn vì đây là biểu tượng của sự tuyệt chủng của các loài động vật trong bối cảnh thế giới đang ngày càng ô nhiễm trầm trọng.,"Ông Tim Noakesmith, nhà đồng sáng lập Vow, giải thích công ty của ông chọn thịt voi ma mút lông xoắn vì đây là biểu tượng của sự tổn thất về đa dạng sinh thái và biến đổi khí hậu.",Refuted,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_452,452,"Để đảm bảo tiến độ triển khai thành công, hiệu quả Chương trình phục hồi và phát triển kinh tế - xã hội cần khẩn trương, chủ động triển khai Nghị quyết số 44/2022/QH15 ngày 11/1/2022.","* Để bảo đảm tiến độ triển khai thành công, hiệu quả Chương trình phục hồi và phát triển kinh tế - xã hội, tại Thông báo số 193/TB-VPCP, Phó Thủ tướng Lê Văn Thành cũng đã yêu cầu các bộ, ngành, địa phương khẩn trương, chủ động triển khai các cơ chế, giải pháp đã được quy định rõ trong các Nghị quyết của Quốc hội (số 43/2022/QH15 ngày 11/1/2022 và số 44/2022/QH15 ngày 11/1/2022) và các Nghị quyết của Chính phủ (số 11/NQ-CP ngày 30/1/2022 và số 18/NQ-CP ngày 11/2/2022) bảo đảm tiến độ, chất lượng các dự án thuộc Chương trình phục hồi và phát triển kinh tế - xã hội.",Refuted,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6728,6728,"Sở giao thông vận tải thành phố sẽ phối hợp với các trường đại học, viện nghiên cứu để quản lý, giám sát xây dựng các cơ sở hạ tầng giao thông.","Đối với hạ tầng xây dựng, Sở GTVT TP sẽ phối hợp với các chủ đầu tư ứng dụng nền tảng số mô hình thông tin xây dựng BIM trong quản lý, giám sát xây dựng công trình giao thông. Đồng thời, TP sẽ triển khai phần mềm quản lý, theo dõi tiến độ các công trình giao thông trọng điểm trên địa bàn TP. Sở GTVT TP sẽ phối hợp với các trường đại học, Viện Nghiên cứu triển khai các chương trình đào tạo dành cho cán bộ ngành giao thông vận tải để bồi dưỡng nâng cao kỹ năng số, bổ sung kiến thức về chuyển đổi số.",Refuted,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_2074,2074,"Ủy ban Tài chính, Ngân sách Quốc hội tổ chức hội thảo lấy ý kiến về chính sách tài chính đất đai và giá đất trong dự thảo Luật Đất đai sửa đổi vào ngày hôm qua 23/3, tại hội thảo đã liệt kê các khoản thu tài chính từ đất đai.","(PLO)- Đại diện Cục Quản lý Công sản - Bộ Tài chính cho rằng cần rà soát để quy định đầy đủ các khoản thu tài chính về đất đai và chỉnh sửa tên của từng khoản thu cho phù hợp. Hôm nay (23-3), Ủy ban Tài chính, Ngân sách Quốc hội tổ chức hội thảo lấy ý kiến về chính sách tài chính đất đai và giá đất trong dự thảo Luật Đất đai sửa đổi.",Refuted,Supported,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_6264,6264,"Với các mái vòm cao tới 32m, Nhà thờ Đức Bà Paris được xây dựng vào giữa thế kỷ 12 và là tòa nhà cao nhất từng được xây dựng vào thời điểm đó.",Nhà thờ Đức Bà Paris được xây dựng vào giữa thế kỷ 12 và là tòa nhà cao nhất từng được xây dựng vào thời điểm đó với các mái vòm cao tới 32m.,Refuted,Supported,False,Bằng chứng không liên quan (IR Noise),Hệ thống BM25/Reranker chọn câu có trùng từ khóa nhưng không chứa sự thật kiểm chứng.
dev_6066,6066,"Ngày 31/3 Bộ Giao thông Vận tải họp giao ban quý I/2023 để ban hành, sửa đổi các thông tư liên quan vấn đề đăng kiểm.","Ngày 31/3, tại Hà Nội, Bộ trưởng Bộ Giao thông Vận tải Nguyễn Văn Thắng chủ trì cuộc họp giao ban quý I/2023 của Bộ.",Supported,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_7157,7157,"Trường tiểu học Kim Giang tổ chức cho học sinh khối lớp 1 và lớp 2 đi tham quan tại trang trại Cánh Buồm Xanh tại huyện Gia Lâm, đến tối cùng ngày, đã có 41 cháu phải nhập viện vì có biểu hiện đau bụng, buồn nôn.","Tối 28/3, UBND Quận Thanh Xuân thông tin sự việc, hôm nay Trường tiểu học Kim Giang tổ chức cho học sinh khối lớp 1 và lớp 2 đi tham quan tại trang trại Cánh Buồm Xanh tại huyện Gia Lâm.",Supported,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
dev_3913,3913,"Thời gian nhận hồ sơ đăng ký dự thi các môn năng khiếu đợt 1 để xét tuyển các ngành: kiến trúc, thiết kế đồ hoạ, thiết kế thời trang, thiết kế nội thất, quy hoạch vùng và đô thị, tổ hợp có môn năng khiếu của ngành quản lý thể dục thể thao đã được công bố.","Năm nay, Trường ĐH Tôn Đức Thắng tổ chức cho thí sinh đăng ký dự thi các môn năng khiếu để xét tuyển vào ĐH đối với các ngành: kiến trúc, thiết kế đồ hoạ, thiết kế thời trang, thiết kế nội thất, quy hoạch vùng và đô thị, tổ hợp có môn năng khiếu của ngành quản lý thể dục thể thao theo 4 phương thức xét tuyển.",Supported,NEI,False,Số liệu / Mốc thời gian,Câu bằng chứng truy xuất chứa số liệu khác hoặc mốc thời gian không khớp phát biểu.
