gold_label,pred_label,statement,evidence,is_error,has_negation,is_long,has_close_numbers
NEI,Supported,Cách đây khoảng 109 năm Yersin đã tìm cách lên đỉnh núi Hòn Bà ở độ cao 1.500m cùng với cộng sự của mình.,"Theo bài viết của chính bác sĩ Alexandre Yersin đăng trên Tập san Hội Nghiên cứu Đông Dương, cách đây khoảng 109 năm (vào năm 1914), ông đã quan sát và tìm cách lên một đỉnh núi Hòn Bà ở độ cao khoảng 1.500m",True,False,False,False
Supported,Refuted,Độ tuổi nghỉ hưu ở nước Anh dự kiến là sẽ tăng lên 68 tuổi trong vòng 23 năm tới.,"Độ tuổi này dự kiến sẽ tăng lên 67 trong giai đoạn 2026 - 2028, tiếp đó sẽ được nâng lên mức 68 trong giai đoạn 2044 - 2046.",True,False,False,False
NEI,Supported,"Gần 11.400 máy tính bảng được Chủ tịch nước trao tặng học sinh vùng sâu, vùng xa trong tỉnh Kon Tum vào chiều 7/3.","Gần 11.400 máy tính bảng được trao tặng học sinh vùng sâu, vùng xa trong tỉnh Kon Tum vào chiều 7/3.",True,False,False,False
Refuted,NEI,Nhà máy MPE Smart Factory đã được khánh thành vào ngày 25/3 sau khoảng 10 năm xây dựng.,khánh thành chiều tối 25/3 MPE Smart Factory khởi công từ tháng 6/2019,True,False,False,False
Supported,Refuted,Công ty DGC dự kiến đầu tư tổng cộng 550 tỷ đồng vào các dự án xây dựng trong năm 2023.,"Theo kế hoạch vạch ra cho năm 2023, doanh nghiệp dự kiến đầu tư xây dựng cơ bản tổng cộng 550 tỷ đồng, trong đó 50 tỷ đồng cho việc hoàn thành nhà máy NPK Đắk Nông và 500 tỷ đồng để khởi công tổ hợp Hóa chất Đức Giang Nghi Sơn.",True,False,False,False
Refuted,Supported,"Đặng Văn Châu và Nguyễn Văn Tân (cùng trú huyện Tiền Hải, tỉnh Thái Bình) bị khởi tố, thi hành lệnh bắt để tạm giam về tội danh trộm cắp.","khởi tố bị can, thi hành lệnh bắt bị can để tạm giam đối với Đặng Văn Châu và Nguyễn Văn Tân (cùng trú huyện Tiền Hải, tỉnh Thái Bình) về tội danh trên",True,False,False,False
NEI,Supported,"Châu Phi đã bị bỏ quên dưới thời tổng thống Donald Trump, tạo cơ hội cho Nga và Trung Quốc gây ảnh hưởng lên Châu Phi.",Có thể nói lục địa đen đã bị bỏ quên nặng nề dưới trào tổng thống Donald Trump và đó là cơ hội để Nga và Trung Quốc gia tăng ảnh hưởng,True,False,False,False
Supported,NEI,"Người dự tuyển phải trải qua tập huấn tối thiểu 12 tháng, đồng thời đối với đăng kiểm viên bậc cao phải có 36 tháng kinh nghiệm.","Người dự tuyển phải trải qua tập huấn tối thiếu 12 tháng, Với đăng kiểm viên bậc cao phải có 36 tháng kinh nghiệm.",True,False,False,False
Supported,NEI,"Bà Ngô Thị Kim Yến, Phó chủ tịch TP Đà Nẵng cho biết, Ma nhai tại danh thắng Ngũ Hành Sơn là niềm vinh dự, tự hào của đất nước Việt Nam nói chung và Đà Nẵng nói riêng.","bà Ngô Thị Kim Yến, Phó chủ tịch TP Đà Nẵng cho biết, đây là niềm vinh dự, tự hào của đất nước Việt Nam nói chung và Đà Nẵng nói riêng",True,False,False,False
Refuted,Supported,Các nạn nhân còn lại của vụ nổ đều thuộc diện hộ nghèo và đang được điều trị tại bệnh viện.,Những nạn nhân còn lại đang được tiếp tục điều trị tại bênh viện Các nạn nhân trong vụ việc đều thuộc diện hộ nghèo.,True,False,False,False
Supported,Refuted,"“Giải thưởng Nhiếp ảnh Heritage - Hành trình Di sản” là cuộc thi nhiếp ảnh chuyên nghiệp, góp phần quảng bá hình ảnh đất nước, con người Việt Nam.","“Giải thưởng Nhiếp ảnh Heritage - Hành trình Di sản” là cuộc thi nhiếp ảnh chuyên nghiệp, dành cho các nhiếp ảnh gia trong và ngoài nước, do Tạp chí Heritage (Vietnam Airlines) khởi xướng từ năm 2013. Qua 9 lần tổ chức, Giải thưởng góp phần tiếp tục quảng bá hình ảnh đất nước, cuộc sống, con người Việt Nam, đây cũng là một hoạt động kỷ niệm 30 năm Tạp chí Heritage.",True,False,False,False
Supported,NEI,"Tòa án quận trung tâm Seoul tuyên buộc chính phủ Hàn Quốc phải bồi thường cho bà Nguyễn Thị Thanh, nạn nhân vụ thảm sát ở thôn Phong Nhi, Phong Nhất, những thiệt hại do binh lính Hàn Quốc gây ra năm 1968.","theo TTXVN, Tòa án quận trung tâm Seoul, Hàn Quốc ngày 7/2 đã ra phán quyết sơ thẩm yêu cầu Chính phủ Hàn Quốc bồi thường hơn 30 triệu won (23.900 USD) cho bà Nguyễn Thị Thanh",True,False,False,True
Refuted,NEI,"Số liệu của Tổng cục Dự trữ Nhà nước (DTNN) cho thấy có 16.920 tấn gạo hỗ trợ học sinh học kỳ I, năm học 2022 - 2023 trong tổng số 56.787 tấn gạo xuất cấp.","Số liệu của Tổng cục Dự trữ Nhà nước (DTNN) cho thấy, trong tổng số 56.787 tấn gạo xuất cấp , có 16.920 tấn gạo hỗ trợ nhân dịp Tết Nguyên đán;",True,False,False,True
Supported,Refuted,Nhà thiết kế kỹ thuật số Wesley Anna vẫn bị thất nghiệp dù có cả 10 năm kinh nghiệm.,"Dù có cả chục năm kinh nghiệm làm việc, bị từ chối và rơi vào cảnh thất nghiệp Wesley Anna một nhà thiết kế kỹ thuật số",True,False,False,False
Supported,Refuted,"Theo AP, giá dầu giảm hơn 2 USD/thùng nhưng đồng bảng và AUD đều tăng giá so với đồng USD.",", giá dầu giảm hơn 2 USD/thùng còn đồng euro, đồng bảng và AUD đều tăng giá so với đồng USD",True,False,False,False
Supported,Refuted,"Trước đó, có tin đồn Khi ta hai lăm rời rạp vì có doanh thu thấp nhưng người đại diện viết trên trang cá nhân rằng khi ta hai lăm vẫn chưa rời rạp, phim vẫn có những suất chiếu tùy theo tình hình kinh doanh của từng cụm rạp.","Trên trang cá nhân, người đại diện viết: ""Khi ta hai lăm vẫn chưa rời rạp. Phim vẫn có những suất chiếu tùy theo tình hình kinh doanh của từng cụm rạp"". Trước đó, có tin đồn Khi ta hai lăm rời rạp vì có doanh thu thấp.",True,True,False,False
Refuted,Supported,Nữ tài xế lái xe Porsche 4 chỗ chạy trên đường dẫn cao tốc Long Thành bất ngờ lao vào làn xe máy gây tai nạn khiến hai người bị thương vào trưa ngày 19/3.,"Ôtô Porsche chạy trên đường dẫn cao tốc Long Thành bất ngờ lao vào làn xe máy gây tai nạn khiến hai người bị thương, trưa 19/3. nam tài xế lái xe Porsche 4 chỗ",True,False,False,False
Supported,NEI,"Trong những clip quảng cáo thuốc, thực phẩm chức năng và mỹ phẩm, nhiều người tự nhận mình có bệnh và dùng thuốc xong thì hết hoàn toàn.","Nhiều nghệ sĩ khác cũng từng tham gia quảng cáo thuốc, thực phẩm chức năng, mỹ phẩm... Nhiều người tự nhận mình có bệnh và uống xong thuốc thì khỏi bệnh.",True,False,False,False
Refuted,NEI,"Điều kiện các bạn trẻ dễ dàng tiếp cận hơn về các giá trị là thông qua sách vở, hình thức tuy khó tiếp cận nhưng lại có hiệu quả cao.","nay, một trong những giải pháp để tạo điều kiện cho các bạn trẻ tiếp cận nhiều hơn đó là đưa được các nội dung về giáo dục lịch sử, văn hóa đất nước đến gần với thanh niên thông qua những giải pháp về số. Làm sao để hình thức gần gũi, dễ nhớ, dễ tiếp cận, dễ tham gia hơn là vấn đề cần quan tâm và đầu tư.",True,False,False,False
Refuted,NEI,Chính phủ Ukraine phủ nhận có liên quan đến vụ việc UAV ở Nga và chưa đưa ra bất kỳ bình luận chính thức nào về vấn đề này.,Kiev chưa bình luận về vụ việc.,True,True,False,False
Refuted,NEI,"Sân bay Rzeszow-Jasionka là sân bay nhộn nhịp nhất Ba Lan, phục vụ hơn 4 triệu hành khách vào tháng 1 năm 2023.","Trong khi đó, sân bay JFK của New York, Mỹ đã phục vụ hơn 4 triệu hành khách chỉ trong tháng 1/2023.",True,False,False,False
Supported,Refuted,"Saigon Morin đang nâng thành 5 sao theo hướng kiến trúc cổ điển độc đáo của miền Trung - Tây nguyên với hệ thống 180 phòng ngủ sang trọng, tiện nghi và hiện đại, và hàng trăm bức tranh, ảnh cổ về lịch sử thành phố Huế từ những năm đầu thế kỷ 20 và về lịch sử 122 năm của khách sạn.","Saigon Morin còn mang đến cho du khách những trải nghiệm thú vị về lịch sử 122 năm. Khi lưu trú, du khách còn có cơ hội chiêm ngưỡng hàng trăm bức tranh, ảnh cổ về lịch sử thành phố Huế từ những năm đầu thế kỷ 20 và về lịch sử 122 năm của khách sạn. Trải qua nhiều giai đoạn lịch sử, đến nay, Saigon Morin là khách sạn 4 sao và đang nâng thành 5 sao theo hướng kiến trúc cổ điển độc đáo của miền Trung - Tây nguyên nhằm phát huy giá trị của một khách sạn lâu đời ở Việt Nam (122 năm tuổi), với hệ thống 180 phòng ngủ sang trọng, tiện nghi và hiện đại...",True,False,True,False
NEI,Supported,"Sau vụ cháy rừng phòng hộ ở tỉnh Bà Rịa - Vũng Tàu, Sở Nông nghiệp và Phát triển nông thôn tỉnh đã nhận được thông tin và yêu cầu lực lượng Kiểm lâm cùng các lực lượng hỗ trợ tiếp tục giám sát các vị trí cháy nhằm ngăn chặn đám cháy bùng phát. Hiện tại, đám cháy không gây thiệt hại về người. Công an tỉnh Bà Rịa - Vũng Tàu đã chỉ đạo các phòng nghiệp vụ, Công an thành phố Bà Rịa và Công an thị xã Phú Mỹ tiến hành điều tra nguyên nhân gây cháy rừng, xác định trách nhiệm của tổ chức và cá nhân liên quan, và tiến hành xử lý nghiêm theo quy định.","Trong tối 29/3, Sở Nông nghiệp và Phát triển nông thôn tỉnh yêu cầu lực lượng Kiểm lâm cùng các lực lượng hỗ trợ cắt cử người tiếp tục giám sát các vị trí cháy đề phòng đám cháy bùng phát trở lại Đến thời điểm hiện nay, đám cháy không gây thiệt hại về người. Công an tỉnh Bà Rịa - Vũng Tàu chỉ đạo các phòng nghiệp vụ, Công an thành phố Bà Rịa và Công an thị xã Phú Mỹ tổ chức xem xét hiện trường, điều tra làm rõ nguyên nhân gây cháy rừng, làm rõ trách nhiệm của tổ chức, cá nhân liên quan đến cháy rừng, kịp thời xử lý nghiêm theo quy định.",True,True,True,False
Supported,Refuted,Bí thư Tỉnh ủy Bình Thuận đã tặng hoa chúc mừng và mong muốn ông Võ Thanh Bình sẽ hoàn thành tốt nhiệm vụ của mình sắp tới.,"Ông Dương Văn An, Bí thư Tỉnh ủy đã trao quyết định, tặng hoa chúc mừng và mong muốn ông Võ Thanh Bình tiếp tục phát huy trí tuệ, phẩm chất đạo đức, hoàn thành tốt nhiệm vụ được giao.",True,False,False,False
Refuted,Supported,"Bụi bẩn ảnh hưởng đến sức khỏe, việc kinh doanh, ... của người đi ngang khu vực này.","Bụi thì nhiều, có lẽ đến khi đường xong, người dân sẽ đổ bệnh cả"", Ngoài ảnh hưởng đến sinh hoạt, gia đình nào kinh doanh còn bị ảnh hưởng. Ngoài ảnh hưởng đến cuộc sống người dân, xe cộ đi qua bị khuất tầm nhìn.",True,False,False,False
Supported,Refuted,"Chất lượng xét xử và giải quyết các vụ án, vụ việc có nhiều tiến bộ với tỉ lệ án bị hủy, sửa do nguyên nhân chủ quan chỉ còn 1,5%.","chất lượng xét xử và giải quyết các vụ án, vụ việc có nhiều tiến bộ Tỉ lệ các bản án bị hủy, sửa do nguyên nhân chủ quan được hạn chế ở mức thấp, dưới 1,5%.",True,False,False,False
Supported,NEI,"Sở Y tế sẽ tăng cường các nỗ lực giám sát, xét nghiệm và truy tìm, cũng như các biện pháp điều trị và phòng ngừa COVID-19 và các bệnh truyền nhiễm khác, đồng thời thúc đẩy các chiến dịch giáo dục sức khỏe và tiêm chủng.","Ngành Y tế tăng cường chỉ đạo, giám sát, kiểm tra, đôn đốc và hỗ trợ tuyến dưới; tổ chức đào tạo về chuyên môn nghiệp vụ, thống kê báo cáo, mở rộng triển khai sử dụng hệ thống báo cáo điện tử cho tất cả các tuyến; thường xuyên giám sát các trường hợp mắc COVID-19, giám sát cộng đồng, thực hiện giám sát biến thể của virus SARS-CoV-2.",True,False,False,False
Supported,NEI,"Việc thực hiện tốt chức năng, nhiệm vụ của tổ chức đảng trong hệ thống ngân hàng thương mại Nhà nước trên địa bàn tỉnh Thái Nguyên đã được khẳng định bởi Bí thư Tỉnh ủy Thái Nguyên Nguyễn Thanh Hải, tuân theo quy định của Điều lệ Đảng, quy định, hướng dẫn của Trung ương trong suốt những năm qua.","Bí thư Tỉnh ủy Thái Nguyên Nguyễn Thanh Hải khẳng định, những năm qua, tổ chức đảng trong hệ thống ngân hàng thương mại Nhà nước trên địa bàn tỉnh đã thực hiện tốt chức năng, nhiệm vụ theo quy định của Điều lệ Đảng, quy định, hướng dẫn của Trung ương",True,False,False,False
Supported,Refuted,"Lúc đầu Asuka Takahashi chưa bắt nhịp được trận đầu, tuy nhiên cô đã dần thích nghi và chủ động tấn công, dẫn trước tay vợt chủ nhà với tỷ số 5-1.","Takahashi dần thích nghi và chủ động tấn công, dẫn trước tay vợt chủ nhà 5-1 Asuka Takahashi chưa kịp bắt nhịp trận đấu",True,True,False,False
Supported,NEI,Giá ngô và lúa mỳ nhập khẩu trên thị trường trong nước tiếp tục giảm so với đầu tháng 3.,giá ngô được chào bán trong khoảng 7.800-8.200 đồng/kg,True,False,False,True
Refuted,Supported,Giá xăng RON 95-III giữ nguyên giá còn E5 RON 92 thì giảm mạnh.,"giá xăng RON 95-III (loại phổ biến trên thị trường ở vùng 1) giảm 780 đồng/lít, xuống mức 23.030 đồng/lít so với mức hiện tại là 23.810 đồng/lít; xăng E5 RON92 giảm 780 đồng/lít, từ mức 22.800 đồng/lít xuống còn 22.020 đồng/lít",True,False,False,True
NEI,Supported,"Theo thông tin dẫn từ bài viết của Alexandre Yersin, ông đã dùng tiền thưởng do Viện hàn lâm khoa học trao cho để thuê người Thượng xây dựng một con đường mòn khả thi, thành lập một trạm thử nghiệm mang tên Yersin.","theo bài viết của Alexandre Yersin Viện hàn lâm Khoa học (Pháp) đã trao cho tôi một giải thưởng. Tôi liền dùng số tiền bất ngờ này để thuê những người Thượng thiết lập một con đường mòn khả thi thành lập trạm thử nghiệm"".",True,False,False,False
NEI,Refuted,"Trước khi có cơ sở chính thức ở quận 1, Trường Trưng Vương tạm tổ chức các hoạt động dạy và học tại Trường Gia Long do quyết định của quan chức cấp cao thời đó.","Trong khi chưa có cơ sở học chính thức, Trường Trưng Vương tạm tổ chức các hoạt động dạy và học tại Trường Gia Long Trường Nữ Trung Học Trưng Vương chính thức được chuyển về số 3 đường Nguyễn Bỉnh Khiêm, Q.1",True,True,False,False
Refuted,Supported,"Trưởng khoa Bệnh nhiệt đới, BS CKII Trần Thanh Linh và TS.BS Lê Quốc Hùng, Trưởng khoa Hồi sức Cấp cứu, đã có mặt tại Bệnh viện Đa khoa khu vực Bắc Quảng Nam từ ngày 18/3 và xác định nguyên nhân ngộ độc cho 9 bệnh nhân.","TS.BS Lê Quốc Hùng, Trưởng khoa Bệnh nhiệt đới và BS CKII Trần Thanh Linh, Trưởng khoa Hồi sức Cấp cứu, đã có mặt tại Bệnh viện Đa khoa khu vực Bắc Quảng Nam từ ngày 18/3 và khẩn trương xác định nguyên nhân dẫn tới vụ ngộ độc cho ít nhất 9 bệnh nhân.",True,False,False,False
Supported,NEI,Cô muốn mọi người cũng thực hiện những hành động nhỏ nhưng có ý nghĩa chẳng hạn như chung tay giúp đỡ chi phí phẫu thuận cho bệnh nhân.,"cô cũng muốn kêu gọi mọi người cùng chung tay thực hiện những hành động nhỏ giúp đỡ chi phí phẫu thuật cho bệnh nhân,",True,True,False,False
NEI,Supported,Xảy ra mẫu thuẫn khi trao đổi mua bán chó mèo mà A đã nảy sinh ý định trả thù bằng cách lấy ma túy gài vào xe và nơi ở của cô gái nhằm thõa mãn sự tức giận của mình.,"Mâu thuẫn trong việc mua bán chó mèo cảnh với A., Thêm mua ma túy, chia nhỏ để gài vào xe máy và nơi ở cô gái rồi báo Công an TPHCM đến bắt hòng trả thù",True,False,False,False
Supported,Refuted,"Phe phản đối phản đối về kế hoạch cải cách, sẽ gây nên hậu quả xấu nếu kế hoạch đi quá xa.","Bên cạnh đó, phe phản đối cho rằng kế hoạch cải cách đi quá xa và sẽ phá hủy tính kiểm soát và cân bằng quyền lực, ảnh hưởng sự độc lập của ngành tư pháp.",True,False,False,False
NEI,Supported,"Năm ngoái, Ngoại trưởng Nhật Bản cùng Trung Quốc đã nhất trí về việc hợp tác liên lạc bằng đường dây nóng.","Năm ngoái, Ngoại trưởng Nhật Bản Hayashi Yoshimasa cho biết Nhật Bản và Trung Quốc đã nhất trí vận hành đường dây nóng giữa các quan chức quốc phòng hai nước từ mùa Xuân năm 2023.",True,False,False,False
Refuted,Supported,"UNESCO vận động mọi người hợp tác nhằm thúc đẩy mạng lưới trao đổi giữa các bên liên quan, đưa ra cảnh báo sớm và giảm rủi ro thiên tai.","UNESCO đang vận động thành lập một quỹ quốc tế để giám sát và bảo tồn sông băng nhằm hỗ trợ nghiên cứu toàn diện, thúc đẩy mạng lưới trao đổi giữa tất cả các bên liên quan và thực hiện các biện pháp cảnh báo sớm và giảm thiểu rủi ro thiên tai.",True,False,False,False
Refuted,Supported,Kỹ sư phầm mềm Join của Microsoft nhận định AI vẫn chưa thể thực hiện được sự phối hợp và làm việc theo nhóm ăn ý của đội ngũ lập trình viên.,kỹ sư phầm mềm Stephen Damien của Microsoft nhận định. AI vẫn chưa thể thực hiện được sự phối hợp và làm việc theo nhóm ăn ý của đội ngũ lập trình viên,True,True,False,False
NEI,Supported,"Tại cuộc họp về khuôn khổ pháp lý liên quan tới năng lượng tái tạo và dự thảo cơ chế thí điểm mua bán điện trực tiếp (DPPA) diễn ra ngày 30/5, văn phòng Chính phủ vừa có thông báo kết luận của Phó thủ tướng Trần Hồng Hà.",Văn phòng Chính phủ vừa có thông báo kết luận của Phó thủ tướng Trần Hồng Hà tại cuộc họp về khuôn khổ pháp lý liên quan tới năng lượng tái tạo và dự thảo cơ chế thí điểm mua bán điện trực tiếp (DPPA).,True,False,False,False
Refuted,Supported,Việc Kim Ju-ae liên tục xuất hiện trong các sự kiện công cộng cho thấy cô đang chuẩn bị tiếp quản vị trí lãnh đạo Triều Tiên của cha mình.,"Từ đó tới nay, con gái ông Kim Jong-un thường xuyên xuất hiện cùng cha trong các sự kiện quan trọng, bao gồm các vụ phóng thử tên lửa tại Triều Tiên. Một số chuyên gia cho rằng việc liên tục đưa con gái tham gia các sự kiện trong thời gian gần đây có thể là một động thái chuẩn bị cho người kế cận của ông Kim Jong-un",True,False,False,False
Refuted,NEI,Vị trí kỹ sư phần mềm cấp 3 tại Google có mức lương khoảng 183.000 USD/năm (gần 5 tỉ đồng).,"vị trí kỹ sư phần mềm cấp 3 tại Google, tương đương với mức lương khoảng 183.000 USD/năm.",True,False,False,False
NEI,Supported,"Một giáo viên toán đã nghỉ hưu ở Anh từng lập kỉ lục là người hiến nhiều tinh trùng nhất thế giới năm 2018, giúp 130 đứa trẻ được thụ tinh.","Theo Metro News, nếu các số liệu nói trên là chính xác, số lượng con cái của Meijer sẽ giúp ông vượt xa Clive Jones, một giáo viên toán đã nghỉ hưu ở Anh, người trước đây từng tuyên bố là ""người hiến nhiều tinh trùng nhất thế giới"" sau khi giúp thụ tinh 130 đứa trẻ.",True,False,False,False
Refuted,Supported,"Tại các phiên tòa, diễn giả nói về vai trò ngày càng quan trọng của việc tái tạo năng lượng ngoài khơi và ảnh hưởng của các vấn đề chính trị đến việc tái tạo này.",Trao đổi tại các phiên của Đối thoại năng lượng tái tạo ngoài khơi ngày càng đóng vai trò quan trọng những vấn đề địa chính trị trong khu vực cũng gây ra tác động tới khả năng phát triển năng lượng tái tạo ngoài khơi,True,False,False,False
NEI,Supported,"Ngoài việc triển khai đồng bộ các phương án về hoàn thiện chính sách theo hướng tăng cường quản lý giám sát thị trường trái phiếu doanh nghiệp trong và ngoài nước, Bộ Tài chính cũng trình Chính phủ xem xét ban hành Nghị định sửa đổi, thêm vào một vài quy định tại Nghị định số 65 về phát hành trái phiếu DN riêng lẻ.","Bộ Tài chính sẽ triển khai đồng bộ các giải pháp về hoàn thiện chính sách theo hướng tăng cường quản lý giám sát thị trường trái phiếu doanh nghiệp Bộ Tài chính đang trình Chính phủ xem xét ban hành Nghị định sửa đổi, bổ sung một số quy định tại Nghị định số 65 về phát hành trái phiếu DN riêng lẻ,",True,False,True,False
Refuted,Supported,Tỉnh đoàn Khánh Hòa tổ chức Ngày hội Biển cả vào chiều ngày 30/3 nhằm ghi nhận những gì biển mang đến.,"Chiều 30/3, Tỉnh đoàn Khánh Hòa tổ chức Ngày hội “Sắc màu thanh niên xứ Trầm Hương” năm 2023. Ngày hội nằm trong các chuỗi hoạt động hưởng ứng kỷ niệm 370 năm xây dựng và phát triển tỉnh Khánh Hòa (1653 - 2023), 48 năm ngày giải phóng Nha Trang - Khánh Hòa (2/4/1975 - 2/4/2023",True,False,False,False
Supported,NEI,"Mạng lưới trung tâm đăng kiểm cũng cần tập trung vào các thành phố lớn, có nhu cầu cao, đồng thời buộc đóng cửa đối với các trung tâm đăng kiểm có hành vi vi phạm.","mạng lưới trung tâm đăng kiểm cũng cần tập trung vào các thành phố lớn, có nhu cầu cao Quá trình thực hiện, trung tâm đăng kiểm nào vi phạm sẽ yêu cầu đóng cửa ngay.",True,False,False,False
NEI,Supported,"Bé gái nhập viện trong tình trạng quấy khúc, mũi chảy máu và dịch vàng kèm với sốt cao vì nhét dị vật vào mũi khi đang chơi một mình.","Trước đó, bé gái vào Bệnh viện Nhi đồng 1 trong tình trạng quấy khóc, đau nhức mũi, chảy dịch vàng lẫn máu bên mũi phải bé đang chơi một mình thì bất ngờ chạy vào nhà báo với người thân vừa nhét đồ chơi vào mũi.",True,True,False,False
Supported,NEI,Đa số thí sinh đến điểm thi từ rất sớm và có yaam thế thoải mái.,", thí sinh được phụ huynh đưa đến từ rất sớm. Đa số thí sinh đi thi với tâm thế thoải mái,",True,False,False,False
Refuted,Supported,"Dầu diesel và dầu hỏa giảm mạnh, riêng dầu mazut thì giữ nguyên.","Mỗi lít dầu diesel 0.05S giảm tới 1.200 đồng/lít, từ mức 20.500 đồng/lít xuống còn 19.300 đồng/lít. Dầu hỏa cũng giảm mạnh ở mức 1.250 đồng/lít, hiện đang có giá là 20.710 đồng/lít giảm còn 19.460 đồng/lít; dầu mazut có mức giá 15.270 đồng/lít sau khi giảm thêm tới 800 đồng/lít thì còn 14.470 đồng/lít.",True,False,False,False
Refuted,Supported,Vụ xả súng xảy ra tại mỏ vàng do người Trung Quốc điều hành khiến Tổng thống CH Trung Phi phải bay sang Trung Quốc để xin lỗi.,Vụ việc khiến Tổng thống CH Trung Phi - ông Faustin Archange Touadera phải lên kế hoạch đến Trung Quốc để trấn an các nhà đầu tư. tại một mỏ vàng do người Trung Quốc điều hành,True,False,False,False
