claim_id,claim_index,statement,evidence,label
dev_543,543,"Tại buổi làm việc với lãnh đạo tỉnh Hòa Bình, văn phòng Chính phủ vừa ban hành Thông báo số 95 ngày 25/3/2023 kết luận của Thủ tướng Chính phủ Phạm Minh Chính.","(Dân trí) - Bên cạnh việc đẩy mạnh phát triển kết cấu hạ tầng kinh tế - xã hội, Thủ tướng Phạm Minh Chính đề nghị tỉnh Hòa Bình xây dựng các sản phẩm du lịch chất lượng cao. Văn phòng Chính phủ vừa ban hành Thông báo số 95 ngày 25/3/2023 kết luận của Thủ tướng Chính phủ Phạm Minh Chính tại buổi làm việc với lãnh đạo tỉnh Hòa Bình. Trong thông báo này, Thủ tướng yêu cầu trong thời gian tới, tỉnh Hòa Bình tập trung lãnh đạo, chỉ đạo công tác quy hoạch, coi đây là nhiệm vụ trọng tâm, ưu tiên với quan điểm quy hoạch phải đi trước một bước, có tầm nhìn dài hạn, chiến lược và tư duy đổi mới, vừa phát huy tiềm năng, thế mạnh, vừa hóa giải được các điểm nghẽn, nút thắt, các khó khăn, thách thức. Đồng thời, tỉnh Hòa Bình cần khẩn trương hoàn thiện và trình cấp có thẩm quyền phê duyệt Quy hoạch tỉnh Hòa Bình thời kỳ 2021-2030, tầm nhìn đến năm 2050 trước tháng 5 tới.",0
dev_3109,3109,"Trong bối cảnh cuộc cạnh tranh nhằm chiếm lĩnh thị trường xe điện đang nóng lên, ngày 14/3 tập đoàn chế tạo ô tô Volkswagen của Đức tuyên bố sẽ đầu tư 122 tỷ euro (130 tỷ USD) nhằm chuyển đổi sang xe điện trong những năm tới.","Tập đoàn chế tạo ô tô Volkswagen của Đức ngày 14/3 tuyên bố sẽ đầu tư 122 tỷ euro (130 tỷ USD) nhằm chuyển đổi sang xe điện trong những năm tới, trong bối cảnh cuộc cạnh tranh nhằm chiếm lĩnh thị trường xe điện đang nóng lên. Volkswagen cho biết tổng vốn đầu tư dự kiến trong giai đoạn 2023 - 2027 là 180 tỷ euro, trong đó 68% dùng vào các dự án điện hóa và số hóa.",0
dev_5423,5423,Hơn 30 người rơi xuống giếng tại một ngôi đền ở TP Indore - Ấn Độ sáng 30-3 nhưng chỉ có hơn 17 người sống sót.,"(NLĐO) - Ít nhất 13 người đã thiệt mạng do rơi xuống giếng tại một ngôi đền ở TP Indore - Ấn Độ sáng 30-3. Đài NDTV đưa tin hơn 30 người rơi xuống giếng nhưng chỉ có hơn 17 người sống sót. Nguyên nhân là do mái che giếng bị sập, dẫn đến vụ tai nạn thương tâm.",0
dev_1591,1591,"Dù các quy định biên chế cứng, nhưng TP.HCM vẫn có nhiều giải pháp giải quyết các mối trăn trở, và chính quyền đã cố gắng giảm bớt gánh nặng, tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị.","Từ đó, đảm bảo hài hòa việc tổ chức đơn vị hành chính lãnh thổ phường hợp lý và khoa học, có sự tương thích giữa quy mô dân số - quy mô lãnh thổ - quy mô bộ máy hành chính. Từ trước đến nay, TP.HCM đã có nhiều trăn trở, giải pháp cho câu chuyện công chức phường nhưng khó xoay chuyển do sự cứng nhắc của quy định biên chế cứng. Với đề xuất này, chính quyền đô thị TP.HCM có được một giải pháp ổn thỏa, giảm bớt gánh nặng cho chính quyền; tập trung nguồn lực cho những đề xuất mới, chủ trương mới trước yêu cầu của mô hình chính quyền đô thị. Trước yêu cầu của việc hoàn thiện tổ chức chính quyền đô thị hiện nay thì việc Bộ Nội vụ đưa ra đề xuất này cho thấy không chỉ có sự sẻ chia, thấu hiểu, mà còn là một dự báo về những cải cách quy mô hơn, tầm cỡ hơn, bảo đảm khoa học đối với mô hình chính quyền đô thị TP.HCM nói riêng và chính quyền đô thị nói chung.",1
dev_7049,7049,"Mẫu mũ của bệnh nhân được các bác sĩ gửi đến phòng xét nghiệm của trung tâm hợp tác của WHO, sau đó kết quả là nấm chondrostereum purpureum, là nguyên nhân gây ra bệnh bạc lá ở thực vật.","Thông thường, nó được điều trị bằng thuốc kháng nấm và phẫu thuật để dẫn lưu. Sau đó, các bác sĩ rút mủ và gửi mẫu đến phòng xét nghiệm của trung tâm hợp tác của Tổ chức Y tế thế giới (WHO) ở Ấn Độ. Kết quả cho thấy đó là nấm chondrostereum purpureum.",0
dev_3397,3397,Man Utd chơi không tốt trong trận tứ kết FA Cup với Fulham.,"Ông khẳng định HLV Ten Hag chẳng thể hài lòng khi chứng kiến Quỷ đỏ thi đấu như vậy. Ở vòng tứ kết FA Cup, Man Utd đã giành chiến thắng với tỷ số 3-1 trước Fulham. Đây là trận đấu mà đoàn quân của HLV Ten Hag thi đấu khá chật vật và bị Fulham dẫn trước.",0
dev_4402,4402,Giới chuyên gia đang nghiên cứu nhu cầu nhà ở dự kiến tại Hà Nội sẽ tăng hay giảm trong thập kỷ tới.,"(Chinhphu.vn) - Dự kiến năm 2023, TP. Hà Nội sẽ có thêm trên 4,1 triệu mét vuông sàn nhà ở, để đáp ứng với dự báo cần khoảng 89 triệu mét vuông sàn tổng nhu cầu về nhà trên địa bàn Hà Nội đến năm 2030. Tổng số nhà ở hoàn thành theo dự án trong năm 2023 sẽ là 21.100 căn.",2
dev_1137,1137,"Ngân hàng First Citizens của Mỹ đã đồng ý mua lại Ngân hàng Thung lũng Silicon (SVB), nhà băng vừa đổ sập trong tháng này gây ra cuộc khủng hoảng lan rộng.","Ngân hàng First Citizens của Mỹ đã đồng ý mua lại Ngân hàng Thung lũng Silicon (SVB), nhà băng vừa đổ sập trong tháng này gây ra cuộc khủng hoảng lan rộng. SVB là đối tác chính của giới khởi nghiệp công nghệ tại Mỹ, hoạt động từ thập niên 1980.",0
dev_1637,1637,Các thông tin về đầu ra của ngành và trường đào tạo ngành được Khôi quan tâm.,"Em sắp tốt nghiệp lớp 12, dự định học ngành An toàn thông tin. Ngoài muốn biết về đầu ra của ngành, em muốn nhờ các anh, chị tư vấn một trường của Đại học Quốc gia TP HCM để học ngành này. Em xin cảm ơn.",0
dev_7143,7143,"Để chữa cháy rừng, lực lượng được huy động gần 750 người, hai xe cứu hỏa và nhiều thiết bị chuyên dụng, sau nhiều nỗ lực triển khai phương án chữa cháy, đến 16 giờ cùng ngày, đám cháy cơ bản được khống chế.","Đến khoảng 12 giờ 15 phút, đám cháy lan sang khu vực phường Kim Dinh, diện tích đám cháy khoảng 15 ha, chủ yếu là cây tre và cỏ tạp. Nhận được thông tin, Ban Chỉ huy Phòng cháy, chữa cháy rừng tỉnh Bà Rịa - Vũng Tàu chỉ đạo Sở Nông nghiệp và Phát triển nông thôn - Thường trực Ban Chỉ huy Phòng cháy, chữa cháy rừng khẩn trương điều hành, huy động lực lượng chữa cháy rừng, khống chế và dập tắt đám cháy trên núi Dinh. Nhận nhiệm vụ, Sở Nông nghiệp và Phát triển nông thôn chủ động phối hợp với UBND thành phố Bà Rịa, UBND thị xã Phú Mỹ, Bộ Chỉ huy Quân sự, Công an, Đội Cảnh sát Phòng cháy, chữa cháy thành phố Bà Rịa và thị xã Phú Mỹ khẩn trương huy động lực lượng, phương tiện kỹ thuật, hậu cần và trực tiếp chỉ huy chữa cháy; huy động lực lượng của các đơn vị quân đội đóng quân trên địa bàn theo hiệp đồng và quy chế phối hợp để chữa cháy, khống chế và dập tắt đám cháy rừng. Lực lượng được huy động gần 250 người, hai xe cứu hỏa và nhiều thiết bị chuyên dụng để chữa cháy rừng. Sau nhiều nỗ lực triển khai phương án chữa cháy, đến 16 giờ, đám cháy cơ bản được khống chế.",1
dev_470,470,Ngày 21/3 Tổng thống Nga Vladimir Putin lên án và tuyên bố Mátxcơva sẽ đáp trả tương xứng về hành động gửi đạn xe tăng chứa urani nghèo cho Ukraine của Anh.,"TPO - Ngày 21/3, Tổng thống Nga Vladimir Putin lên án việc Anh định gửi đạn xe tăng chứa urani nghèo cho Ukraine, tuyên bố Mátxcơva sẽ buộc phải đáp trả tương xứng. Tổng thống Nga Vladimir Putin Phát biểu tại London hôm 20/3, Bộ trưởng Quốc phòng Annabel Goldie cho biết, một số đạn dược dùng cho xe tăng chiến đấu Challenger 2 mà Anh sắp gửi cho Ukraine bao gồm cả đạn xuyên giáp chứa urani nghèo.",0
dev_5834,5834,Một trong những thỏa thuận giữa hai bên là chuyển đổi cơ chế hoạt động của Trường Đại học Hà Tĩnh thành trường đại học thành viên của ĐH Quốc gia Hà Nội.,"ĐH Quốc gia Hà Nội cho biết, hôm nay 16.3, tại Hà Tĩnh, lãnh đạo ĐH Quốc gia Hà Nội đã làm việc với tỉnh Hà Tĩnh và ký kết thỏa thuận hợp tác toàn diện giai đoạn 2023 - 2027 trong các lĩnh vực giáo dục, khoa học công nghệ và tư vấn triển khai. Một trong những nội dung 2 bên ký kết là sẽ xây dựng đề án chuyển đổi cơ chế hoạt động Trường ĐH Hà Tĩnh trở thành trường ĐH thành viên của ĐH Quốc gia Hà Nội. ĐH Quốc gia Hà Nội và tỉnh Hà Tĩnh sẽ xây dựng đề án chuyển đổi cơ chế hoạt động Trường ĐH Hà Tĩnh trở thành trường ĐH thành viên của ĐH Quốc gia Hà Nội NGỌC DIỆP Theo GS Lê Quân, Giám đốc ĐH Quốc gia Hà Nội, văn bản hợp tác nhằm hiện thực hóa các mục tiêu phát triển của tỉnh với 4 nhiệm vụ trọng tâm: đào tạo và phát triển nguồn nhân lực; nghiên cứu khoa học và chuyển giao công nghệ; tư vấn chính sách phát triển kinh tế - xã hội; xây dựng và phát triển Trường ĐH Hà Tĩnh. Trong giai đoạn hợp tác này, hai bên triển khai đẩy mạnh 10 nhóm hợp tác cụ thể, trong đó có việc xây dựng đề án chuyển đổi cơ chế hoạt động Trường ĐH Hà Tĩnh trở thành trường ĐH thành viên của ĐH Quốc gia Hà Nội.",0
dev_2641,2641,Tang lễ tri ân những người hi sinh trong thảm họa có sự tham gia của chủ tịch Raúl Castro và đại tướng Miguel Díaz-Canel diễn ra trong hai ngày 18 và 19/8.,"(Chinhphu.vn) - Ngày 19/8, hơn 15.000 người dân Cuba đã tới Bảo tàng Lính cứu hỏa tỉnh Matanzas để đặt nến, hoa và ảnh tưởng nhớ 16 người đã hy sinh trong vụ hỏa hoạn xảy ra tại kho chứa nhiên liệu lớn nhất cả nước. Những người lính cứu hỏa, binh sĩ và cư dân thành phố Matanzas tiễn đưa và vinh danh những người đã hy sinh trong vụ hỏa hoạn xảy ra tại kho chứa nhiên liệu bên vịnh Matanzas - Ảnh: Granma.cu Bất chấp thời tiết nắng nóng gay gắt, hàng dài những người lính cứu hỏa, binh sĩ và cư dân thành phố Matanzas đã diễu hành chậm rãi để tiễn đưa và vinh danh những người đã hy sinh. Đại tướng Raúl Castro và Chủ tịch Cuba Miguel Díaz-Canel dẫn đầu đội danh dự tang lễ. Lễ an táng được tổ chức cùng ngày theo nghi thức gia đình tại nghĩa trang San Carlos de Matanzas, cách thủ đô La Habana 100 km về phía Đông. Trước đó, Cuba đã tuyên bố quốc tang và treo cờ rủ trong hai ngày 18 và 19/8 để tri ân những người đã ngã xuống khi làm nhiệm vụ trong thảm họa nói trên.",1
dev_3442,3442,Gọi ngay cho đường dây nóng 0967771010 để báo cáo những hành vi có dấu lừa gạt.,"(PLO)- Sở Y tế TP.HCM khuyến cáo khi nhận thông tin có dấu hiệu lừa gạt, người dân hãy gọi đường dây nóng 0967771010 hoặc 02839307916. Sáng 11-3, Sở Y tế TP.HCM khuyến cáo người dân khi nhận thông tin liên quan điều trị và nghi ngờ có dấu hiệu giả mạo, lừa gạt, hãy thông báo với cơ quan công an và đường dây nóng của Sở Y tế TP.HCM qua số 0967771010 hoặc 02839307916, kể cả đường dây nóng của các bệnh viện (BV).",0
dev_5295,5295,"Bạn của Lực kêu chị của nạn nhân đưa điện thoại mà Lực từng sử dụng vì là đồ bạn của Lục cho mượn, để xóa tin nhắn gì đó.","Do đó, gia đình nghi đây là vụ án mạng và mong muốn công an vào cuộc điều tra làm rõ, để con ông được an nghỉ. Còn theo chị của nạn nhân, lúc ở bệnh viện có một người bạn của Lực kêu chị này đưa điện thoại mà Lực từng sử dụng, để xoá tin nhắn gì đó nhưng chị không đồng ý.",2
dev_4909,4909,Dưới sự dẫn dắt của HLV Park Han Seo đội tuyển nữ Việt Nam vẫn đang tập luyện tại Trung tâm đào tạo bóng đá trẻ Việt Nam (Hà Nội).,"Sau đó 9.4 cô sẽ bay trở lại Bồ Đào Nha tiếp tục tập luyện và sẵn sàng cho giai đoạn tiếp theo cùng Lank FC. Đội tuyển nữ Việt Nam vẫn đang tập luyện tại Trung tâm đào tạo bóng đá trẻ Việt Nam (Hà Nội) dưới sự dẫn dắt của HLV Mai Đức Chung. Ngày mai 1.4, đội tuyển nữ Việt Nam sẽ có trận giao hữu cuối cùng gặp đội Thanh Niên Hà Nội, trước khi rút gọn danh sách tham dự vòng loại Olympic 2024 gặp đội tuyển nữ Nepal.",1
dev_1395,1395,"TBI là tổ chức kinh doanh do cựu Thủ tướng Tony Blair thành lập để hỗ trợ chính phủ các nước giải quyết các thách thức lớn về kinh tế, xã hội và chính trị.","(Chinhphu.vn) - Chiều 10/3, Thủ tướng Phạm Minh Chính đã tiếp ông Tony Blair, cựu Thủ tướng Vương quốc Anh và Bắc Ireland, Chủ tịch điều hành Viện Tony Blair vì sự thay đổi toàn cầu (TBI) nhân dịp ông đến thăm Việt Nam. Thủ tướng Phạm Minh Chính bày tỏ trân trọng những đóng góp của ông Tony Blair cho quan hệ Việt Nam-Anh trong nhiệm kỳ Thủ tướng Vương quốc Anh, đánh giá cao ngài cựu Thủ tướng và các cộng sự Viện TBI đã dành tình cảm, sự quan tâm hợp tác với các bộ ngành, cơ quan của Việt Nam - Ảnh: VGP/Nhật Bắc TBI là tổ chức phi lợi nhuận do cựu Thủ tướng Tony Blair thành lập với mục tiêu hỗ trợ chính phủ các nước giải quyết các thách thức lớn về kinh tế, xã hội và chính trị thông qua việc xây dựng chiến lược và chính sách, thúc đẩy toàn cầu hóa. Tại buổi tiếp, Thủ tướng Phạm Minh Chính bày tỏ trân trọng những đóng góp của ông Tony Blair cho quan hệ Việt Nam-Anh trong nhiệm kỳ Thủ tướng Vương quốc Anh (1997-2007), đánh giá cao ngài cựu Thủ tướng và các cộng sự Viện TBI đã dành tình cảm, sự quan tâm hợp tác với các bộ ngành, cơ quan của Việt Nam; ghi nhận những kết quả hợp tác giữa Viện với phía Việt Nam thời gian qua.",1
